,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
0,197584.887,cam1-000-000000-0,7299203.669478981,375818.0238789399,339.44921875,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:04.887,08:53:04,63.57654583333335,25.103974416666663,17.703876333333334,0.0,2.7538763333333316,0.508469083333333,15.108488699999999,14.125029425,1426401.1468682438,1279648.2926791317
1,197587.957,cam1-000-000001-0,7299181.69320293,375797.94496821496,345.72802734375,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:07.957,08:53:07,63.572281944444455,25.105424138888885,17.704217444444446,0.0,2.7542174444444436,0.508554361111111,15.1087957,14.125362008333333,1426496.8966010746,1279660.237795004
2,197590.893,cam1-000-000002-0,7299159.863607682,375779.17897183343,351.498046875,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:10.893,08:53:10,63.56820416666665,25.10681058333334,17.70454366666667,0.0,2.7545436666666676,0.508635916666667,15.1090893,14.125680075000002,1426588.4670296062,1279671.6615279685
3,197593.963,cam1-000-000003-0,7299134.700701582,375758.7805419082,357.3903503417969,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:13.963,08:53:13,63.563940277777796,25.10826030555555,17.704884777777778,0.0,2.7548847777777765,0.5087211944444442,15.109396299999998,14.126012658333332,1426684.216762436,1279683.6066438404
4,197596.899,cam1-000-000004-0,7299110.126992508,375738.1701872888,362.7150268554688,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:16.899,08:53:16,63.559862499999994,25.109646750000003,17.705211000000002,0.0,2.7552110000000005,0.5088027500000002,15.109689900000001,14.126330725,1426775.7871909677,1279695.030376805
5,197599.969,cam1-000-000005-0,7299084.916227208,375709.8896884018,368.3365173339844,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:19.969,08:53:19,63.555598611111094,25.11109647222223,17.705552111111114,0.0,2.755552111111112,0.5088880277777781,15.109996900000002,14.126663308333335,1426871.5369237985,1279706.9754926772
6,197602.905,cam1-000-000006-0,7299063.094125029,375680.9333167925,373.854248046875,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:22.905,08:53:22,63.551520833333335,25.112482916666668,17.705878333333334,0.0,2.755878333333333,0.5089695833333333,15.1102905,14.126981375,1426963.1073523292,1279718.3992256417
7,197605.975,cam1-000-000007-0,7299040.10876693,375650.15312890377,377.8646240234375,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:25.975,08:53:25,63.547256944444435,25.113932638888894,17.706219444444447,0.0,2.756219444444445,0.5090548611111113,15.1105975,14.127313958333334,1427058.85708516,1279730.344341514
8,197608.911,cam1-000-000008-0,7299019.205173077,375621.5848261674,377.1975402832031,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:28.911,08:53:28,63.543179166666675,25.11531908333333,17.706545666666667,0.0,2.756545666666666,0.5091364166666665,15.1108911,14.127632024999999,1427150.4275136907,1279741.7680744783
9,197611.981,cam1-000-000009-0,7298999.086260565,375592.0609666768,376.99700927734375,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:31.981,08:53:31,63.538915277777775,25.116768805555555,17.70688677777778,0.0,2.7568867777777775,0.5092216944444444,15.1111981,14.127964608333333,1427246.1772465215,1279753.7131903504
10,197614.917,cam1-000-000010-0,7298979.508100499,375563.90530526615,376.814697265625,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:34.917,08:53:34,63.534837500000016,25.118155249999994,17.707213,0.0,2.7572129999999984,0.5093032499999997,15.111491699999998,14.128282674999998,1427337.7476750521,1279765.136923315
11,197617.853,cam1-000-000011-0,7298959.766406573,375535.80417223735,376.7588195800781,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:37.853,08:53:37,63.530759722222214,25.119541694444447,17.707539222222223,0.0,2.7575392222222224,0.5093848055555557,15.111785300000001,14.128600741666666,1427429.3181035838,1279776.5606562796
12,197620.923,cam1-000-000012-0,7298939.346058025,375507.5690509572,376.72161865234375,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:40.923,08:53:40,63.52649583333332,25.120991416666673,17.707880333333335,0.0,2.7578803333333344,0.5094700833333337,15.1120923,14.128933325,1427525.0678364146,1279788.5057721518
13,197623.859,cam1-000-000013-0,7298913.860410329,375488.9833156777,376.7747802734375,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:43.859,08:53:43,63.52241805555556,25.12237786111111,17.708206555555556,0.0,2.758206555555555,0.5095516388888888,15.1123859,14.129251391666665,1427616.6382649452,1279799.929505116
14,197626.929,cam1-000-000014-0,7298883.242864046,375470.9049400293,376.8794555664063,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:46.929,08:53:46,63.51815416666666,25.123827583333338,17.708547666666668,0.0,2.758547666666667,0.5096369166666668,15.1126929,14.129583975000001,1427712.387997776,1279811.8746209883
15,197630.933,cam1-000-000015-0,7298858.082863394,375430.4388559264,376.8936767578125,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:50.933,08:53:50,63.51259305555557,25.125718361111108,17.708992555555554,0.0,2.758992555555554,0.5097481388888886,15.1130933,14.130017741666666,1427837.26810535,1279827.4538535462
16,197632.935,cam1-000-000016-0,7298848.92862001,375408.27653925074,376.84033203125,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:52.935,08:53:52,63.5098125,25.12666375,17.709215,0.0,2.7592149999999998,0.5098037499999999,15.1132935,14.130234625,1427899.7081591375,1279835.243469825
17,197635.871,cam1-000-000017-0,7298837.190151328,375378.95047686,376.8696594238281,BuffaloCamp100m,2020-01-21,2020-01-21 08:53:55.871,08:53:55,63.5057347222222,25.12805019444445,17.709541222222224,0.0,2.7595412222222238,0.5098853055555559,15.113587100000002,14.130552691666669,1427991.2785876691,1279846.6672027896
