,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
0,462215.407,cam1-000-000000-0,-3135831.702066491,3491478.311855994,325.3231201171875,MakhohlolaEP,2020-01-24,2020-01-24 10:23:35.407,10:23:35,89.40421505555554,25.006424433333336,23.112652619444447,100.0,3.9,0.7478633722222222,20.724106108333334,19.455559597222223,1537197.0058276511,1408557.7932286276
1,462217.008,cam1-000-000001-0,-3135836.786530673,3491480.3495959817,328.8688659667969,MakhohlolaEP,2020-01-24,2020-01-24 10:23:37.008,10:23:37,89.40003466666674,25.007438399999984,23.112870533333332,100.0,3.9,0.7478722666666665,20.724359599999996,19.45584866666666,1537195.9475630934,1408561.87535036
2,462219.678,cam1-000-000002-0,-3135835.5029288074,3491484.8837409066,333.7095642089844,MakhohlolaEP,2020-01-24,2020-01-24 10:23:39.678,10:23:39,89.39306299999996,25.00912940000001,23.11323395,100.0,3.9,0.7478871,20.72478235,19.456330750000003,1537194.18268716,1408568.683136135
3,462220.745,cam1-000-000003-0,-3135831.475084501,3491487.504715817,335.3108215332031,MakhohlolaEP,2020-01-24,2020-01-24 10:23:40.745,10:23:40,89.39027694444445,25.009805166666663,23.113379180555555,100.0,3.9,0.7478930277777778,20.724951291666667,19.456523402777776,1537193.477397789,1408571.4037007126
4,462222.747,cam1-000-000004-0,-3135823.6017435878,3491491.874394909,337.5212097167969,MakhohlolaEP,2020-01-24,2020-01-24 10:23:42.747,10:23:42,89.38504950000006,25.011073099999983,23.113651674999996,100.0,3.9,0.7479041499999999,20.725268274999998,19.456884874999997,1537192.15407134,1408576.5082651775
5,462224.749,cam1-000-000005-0,-3135820.396961543,3491494.7905633897,339.92010498046875,MakhohlolaEP,2020-01-24,2020-01-24 10:23:44.749,10:23:44,89.37982205555552,25.01234103333334,23.11392416944445,100.0,3.9,0.7479152722222223,20.725585258333336,19.457246347222224,1537190.8307448912,1408581.6128296426
6,462226.751,cam1-000-000006-0,-3135822.9798266683,3491496.2863566345,342.17047119140625,MakhohlolaEP,2020-01-24,2020-01-24 10:23:46.751,10:23:46,89.37459461111114,25.01360896666666,23.11419666388889,100.0,3.9,0.7479263944444444,20.725902241666667,19.457607819444444,1537189.5074184423,1408586.7173941075
7,462229.287,cam1-000-000007-0,-3135831.112089956,3491487.762525024,343.40350341796875,MakhohlolaEP,2020-01-24,2020-01-24 10:23:49.287,10:23:49,89.3679728333333,25.015215100000006,23.114541841666668,100.0,3.9,0.7479404833333334,20.726303775,19.458065708333336,1537187.8311168067,1408593.1835157275
8,462230.755,cam1-000-000008-0,-3135836.7641887707,3491475.6996849123,343.38446044921875,MakhohlolaEP,2020-01-24,2020-01-24 10:23:50.755,10:23:50,89.3641397222222,25.016144833333335,23.11474165277778,100.0,3.9,0.747948638888889,20.726536208333336,19.45833076388889,1537186.8607655445,1408596.9265230375
9,462232.757,cam1-000-000009-0,-3135844.284299693,3491459.580005368,343.3425598144531,MakhohlolaEP,2020-01-24,2020-01-24 10:23:52.757,10:23:52,89.35891227777782,25.017412766666656,23.115014147222222,100.0,3.9,0.7479597611111111,20.726853191666663,19.45869223611111,1537185.5374390958,1408602.0310875026
