,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
0,367614.238,Flight1_cam1-000-000000-0,-3099980.1612524213,3483308.6038982715,265.50640869140625,NkuluEP,2020-01-16,2020-01-16 08:06:54.238,08:06:54,74.29536533333331,26.820132222222227,21.84317884444444,0.0,3.9,0.7434519833333334,19.259726861111112,18.286630827777778,1489888.3393817793,1384446.0522514533
1,367617.308,Flight1_cam1-000-000001-0,-3099996.826394415,3483291.683649516,269.98883056640625,NkuluEP,2020-01-16,2020-01-16 08:06:57.308,08:06:57,74.28717866666662,26.821837777777787,21.84290595555555,0.0,3.9,0.7434775666666669,19.25942838888889,18.28638352222222,1489861.5623616655,1384453.1840865866
2,367620.244,Flight1_cam1-000-000002-0,-3100021.462056227,3483278.7291136608,274.6063232421875,NkuluEP,2020-01-16,2020-01-16 08:07:00.244,08:07:00,74.27934933333333,26.823468888888893,21.842644977777777,0.0,3.9,0.7435020333333334,19.259142944444445,18.28614701111111,1489835.9541105079,1384460.0046298932
3,367623.18,Flight1_cam1-000-000003-0,-3100047.4021062884,3483277.033889967,278.6488342285156,NkuluEP,2020-01-16,2020-01-16 08:07:03.180,08:07:03,74.27152000000002,26.825099999999996,21.842384,0.0,3.9,0.7435265,19.2588575,18.2859105,1489810.3458593502,1384466.8251731999
4,367626.25,Flight1_cam1-000-000004-0,-3100069.5763882976,3483279.0397765427,281.3703308105469,NkuluEP,2020-01-16,2020-01-16 08:07:06.250,08:07:06,74.26333333333334,26.826805555555556,21.84211111111111,0.0,3.9,0.7435520833333333,19.25855902777778,18.285663194444446,1489783.5688392362,1384473.9570083334
5,367629.186,Flight1_cam1-000-000005-0,-3100091.0026325155,3483276.546989555,284.10223388671875,NkuluEP,2020-01-16,2020-01-16 08:07:09.186,08:07:09,74.25550400000004,26.828436666666658,21.841850133333335,0.0,3.9,0.7435765499999999,19.258273583333334,18.285426683333334,1489757.9605880785,1384480.77755164
6,367632.256,Flight1_cam1-000-000006-0,-3100114.299854501,3483265.44494228,286.9245300292969,NkuluEP,2020-01-16,2020-01-16 08:07:12.256,08:07:12,74.24731733333336,26.830142222222218,21.841577244444444,0.0,3.9,0.7436021333333332,19.25797511111111,18.28517937777778,1489731.1835679645,1384487.9093867734
7,367635.192,Flight1_cam1-000-000007-0,-3100136.7613887065,3483253.169076182,289.8115234375,NkuluEP,2020-01-16,2020-01-16 08:07:15.192,08:07:15,74.23948800000005,26.831773333333324,21.841316266666666,0.0,3.9,0.7436265999999998,19.257689666666668,18.28494286666667,1489705.5753168068,1384494.72993008
8,367638.262,Flight1_cam1-000-000008-0,-3100159.3444522447,3483243.5478032613,292.16973876953125,NkuluEP,2020-01-16,2020-01-16 08:07:18.262,08:07:18,74.23130133333338,26.833478888888884,21.841043377777776,0.0,3.9,0.7436521833333333,19.257391194444445,18.284695561111114,1489678.798296693,1384501.8617652133
9,367641.198,Flight1_cam1-000-000009-0,-3100180.8914449657,3483236.4027527957,294.23291015625,NkuluEP,2020-01-16,2020-01-16 08:07:21.198,08:07:21,74.22347200000007,26.835109999999986,21.840782400000002,0.0,3.9,0.7436766499999998,19.257105750000004,18.284459050000002,1489653.1900455353,1384508.68230852
