,GPSTime,Lat,Lon,Easting,Northing,Altitude,Roll,Pitch,Heading
0,112121.5079726,-23.75266653105304,31.438285222168492,340840.80083798163,7372282.438690757,286.34210205078125,0.025330400000000003,-0.0066927,2.1795733
1,112121.587973,-23.752666530057848,31.438285223514495,340840.80097397,7372282.43880247,286.3419189453125,0.0253139,-0.0067093,2.1795566
2,112121.66797339,-23.752666527960855,31.43828522635068,340840.8012605129,7372282.439037863,286.341552734375,0.0252883,-0.006698100000000001,2.1795724
3,112121.74797378,-23.752666525854753,31.438285229199185,340840.8015483005,7372282.439274278,286.3411865234375,0.0252725,-0.0066865,2.1796183
4,112121.82797418,-23.752666524549966,31.438285230963906,340840.8017265927,7372282.439420743,286.3409423828125,0.0252601,-0.0066868,2.1796159
5,112121.907974568,-23.75266652410551,31.438285231565033,340840.80178732495,7372282.439470634,286.3408508300781,0.0252539,-0.0066869,2.1796422
6,112121.98797497,-23.752666524059265,31.43828523162759,340840.801793645,7372282.439475825,286.3408508300781,0.0252224,-0.0066882,2.1796116
7,112122.05997532001,-23.752666524139826,31.43828523150179,340840.80178092036,7372282.439466763,286.34088134765625,0.0252147,-0.0067173,2.1796216
8,112122.13997572,-23.752666524226413,31.43828523135254,340840.80176581256,7372282.439457008,286.3409423828125,0.0252084,-0.0067051,2.1796167
9,112122.21997610999,-23.75266652435431,31.4382852311298,340840.8017432641,7372282.4394425955,286.34100341796875,0.0251972,-0.0067049,2.1795973
10,112122.29997658,-23.752666524341038,31.438285231141187,340840.80174440856,7372282.439444078,286.34100341796875,0.025223700000000005,-0.0067009,2.179591
11,112122.3799769,-23.752666524267052,31.438285231245978,340840.80175500014,7372282.439452388,286.3409729003906,0.0252136,-0.0066886,2.1795909
12,112122.45997729,-23.752666524182136,31.438285231364652,340840.80176699325,7372282.439461924,286.3409729003906,0.0252039,-0.0066822,2.1796006
13,112122.53997769,-23.752666524092177,31.43828523149055,340840.80177971674,7372282.439472027,286.3409423828125,0.0251944,-0.0066646,2.1796041
14,112122.61997808001,-23.75266652400517,31.43828523161423,340840.80179221753,7372282.4394818,286.3409423828125,0.0252006,-0.006669600000000001,2.1795787
15,112122.69997848001,-23.752666523928582,31.438285231726134,340840.80180353095,7372282.439490407,286.3409118652344,0.0252124,-0.0066667,2.1795821
16,112122.77997887,-23.75266652386745,31.43828523181886,340840.80181290815,7372282.439497281,286.3409118652344,0.025207700000000003,-0.0066421,2.1795562
17,112122.85997927,-23.75266652382599,31.438285231884635,340840.8018195621,7372282.439501945,286.34088134765625,0.0252284,-0.0066441,2.1795275
18,112122.93997966,-23.752666523802475,31.438285231925022,340840.8018236501,7372282.439504595,286.34088134765625,0.025233700000000005,-0.0066476,2.1795256
19,112123.01198002,-23.752666523792367,31.438285231945795,340840.80182575545,7372282.439505737,286.3408508300781,0.0252365,-0.0066278000000000005,2.1795313
20,112123.09198041,-23.752666523790595,31.438285231953543,340840.80182654306,7372282.439505942,286.3408508300781,0.0252196,-0.0066151000000000005,2.1795295
21,112123.17198083,-23.752666523792374,31.438285231954687,340840.8018266619,7372282.439505747,286.3408203125,0.0252219,-0.006619500000000001,2.1795423
22,112123.25198120001,-23.75266652379398,31.438285231954517,340840.8018266463,7372282.439505568,286.3408203125,0.0252147,-0.006638,2.1795256
