,Station,Date,Time,Tdry_C,Max_Tdry_C,Min_Tdry_C,Rhum_Perc,Dewpoint_C,Rain_mm,WSpd_kmh,Wind_Degrees,Wind_Direction,Max WSpd km/h,Min_WSpd_kmh,Leaf_Wet_Perc,Srad_mJ,Sun_Hours,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,Battery,Data_type,Site,DateTime,GPSTime
0,Skukuza,2020/01/16,01:00:00,22.73,0.0,,95.3,21.94,0.0,0.18,170.0,S,1.66,0.18,0.0,3.9,1.0,0.74,19.37,18.26,4.12,Logger,Nkuhlu,2020-01-16 01:00:00,349200.0
1,Skukuza,2020/01/16,02:00:00,23.74,0.0,,91.0,22.18,0.0,1.44,184.0,S,3.28,1.44,0.0,3.9,1.0,0.73,19.64,18.56,4.12,Logger,Nkuhlu,2020-01-16 02:00:00,352800.0
2,Skukuza,2020/01/16,03:00:00,24.03,0.0,,89.1,22.12,0.0,0.65,179.0,S,2.7,0.65,0.0,3.9,1.0,0.75,19.57,18.5,4.12,Logger,Nkuhlu,2020-01-16 03:00:00,356400.0
3,Skukuza,2020/01/16,04:00:00,24.02,0.0,,88.1,21.93,0.0,1.48,202.0,SSW,4.61,1.48,0.0,3.9,1.0,0.74,19.36,18.29,4.12,Logger,Nkuhlu,2020-01-16 04:00:00,360000.0
4,Skukuza,2020/01/16,05:00:00,23.64,0.0,,88.1,21.55,0.0,1.69,186.0,S,3.2,1.69,0.0,3.9,1.0,0.73,18.94,17.86,4.12,Logger,Nkuhlu,2020-01-16 05:00:00,363600.0
5,Skukuza,2020/01/16,06:00:00,22.45,0.0,,92.2,21.12,0.0,0.5,192.0,SSW,3.06,0.5,0.0,3.9,1.0,0.73,18.47,17.36,4.12,Logger,Nkuhlu,2020-01-16 06:00:00,367200.0
6,Skukuza,2020/01/16,07:00:00,23.61,0.0,,88.4,21.58,0.0,3.17,191.0,S,7.45,3.17,0.0,3.9,1.0,0.71,18.97,17.89,4.12,Logger,Nkuhlu,2020-01-16 07:00:00,370800.0
7,Skukuza,2020/01/16,08:00:00,26.59,0.0,,75.4,21.88,0.0,4.39,194.0,SSW,8.24,4.39,0.0,3.9,1.0,0.74,19.3,18.32,4.13,Logger,Nkuhlu,2020-01-16 08:00:00,374400.0
8,Skukuza,2020/01/16,09:00:00,28.59,0.0,,65.8,21.56,0.0,4.39,191.0,S,7.27,4.39,0.0,3.9,1.0,0.77,18.95,18.03,4.13,Logger,Nkuhlu,2020-01-16 09:00:00,378000.0
9,Skukuza,2020/01/16,10:00:00,29.57,0.0,,60.2,21.03,0.0,4.86,189.0,S,8.42,4.86,0.0,3.9,1.0,0.79,18.38,17.5,4.13,Logger,Nkuhlu,2020-01-16 10:00:00,381600.0
