imgf,cam1-001-000238-0.tif,cam1-001-000451-0.tif,cam1-001-001014-0.tif,cam1-001-000064-0.tif,cam1-001-000909-0.tif,cam1-001-000077-0.tif,cam1-001-000618-0.tif,cam1-001-000602-0.tif,cam1-001-000869-0.tif,cam1-001-000092-0.tif
cam1-001-000064-0.tif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cam1-001-000077-0.tif,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cam1-001-000092-0.tif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cam1-001-000238-0.tif,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cam1-001-000451-0.tif,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cam1-001-000602-0.tif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cam1-001-000618-0.tif,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cam1-001-000869-0.tif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cam1-001-000909-0.tif,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cam1-001-001014-0.tif,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
