,cam1-001-000238-0.tif,cam1-001-002044-0.tif,cam1-001-000451-0.tif,cam1-001-001821-0.tif,cam1-001-001405-0.tif,cam1-001-001659-0.tif,cam1-001-001014-0.tif,cam1-001-001236-0.tif,cam1-001-000064-0.tif,cam1-001-001806-0.tif,cam1-001-000909-0.tif,cam1-001-001380-0.tif,cam1-001-000077-0.tif,cam1-001-000618-0.tif,cam1-001-000602-0.tif,cam1-001-000869-0.tif,cam1-001-000092-0.tif,cam1-001-002009-0.tif,cam1-001-000428-0.tif,cam1-001-001262-0.tif
cam1-001-000238-0.tif,0.0,,,,,,,,0.6889076828956604,,,,,,,,,,0.4417019188404083,
cam1-001-002044-0.tif,,0.0,,,,,,,,,,,,,,,,,,
cam1-001-000451-0.tif,,,0.0,,,,,,,,,,,0.5029452443122864,,1.159467101097107,,,0.721436619758606,
cam1-001-001821-0.tif,,,,0.0,,,,,,1.139803409576416,,,,,,,,,,
cam1-001-001405-0.tif,,,,,0.0,,,1.730812430381775,,,,,,,,,,,,
cam1-001-001659-0.tif,,,,,,0.0,,,,,,,,,,,,,,1.5232090950012207
cam1-001-001014-0.tif,,,,,,,0.0,,,,,,,,1.623055338859558,,,,,
cam1-001-001236-0.tif,,,,,1.730812430381775,,,0.0,,,,,,,,,,,,
cam1-001-000064-0.tif,0.6889076828956604,,,,,,,,0.0,,,,0.5712788701057434,,,,,,,
cam1-001-001806-0.tif,,,,1.139803409576416,,,,,,0.0,,,,,,,,1.5840065479278564,,
cam1-001-000909-0.tif,,,,,,,,,,,0.0,,,,,,,,,
cam1-001-001380-0.tif,,,,,,,,,,,,0.0,,,,,,,,1.9732539653778076
cam1-001-000077-0.tif,,,,,,,,,0.5712788701057434,,,,0.0,,,,,,,
cam1-001-000618-0.tif,,,0.5029452443122864,,,,,,,,,,,0.0,,1.4072155952453613,,,0.7948867678642273,
cam1-001-000602-0.tif,,,,,,,1.623055338859558,,,,,,,,0.0,,,,,
cam1-001-000869-0.tif,,,1.159467101097107,,,,,,,,,,,1.4072155952453613,,0.0,,,,
cam1-001-000092-0.tif,,,,,,,,,,,,,,,,,0.0,,,
cam1-001-002009-0.tif,,,,,,,,,,1.5840065479278564,,,,,,,,0.0,,
cam1-001-000428-0.tif,0.4417019188404083,,0.721436619758606,,,,,,,,,,,0.7948867678642273,,,,,0.0,
cam1-001-001262-0.tif,,,,,,1.5232090950012207,,,,,,1.9732539653778076,,,,,,,,0.0
