,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
,,,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,
Flight2_cam1-000-000157-0.tif,Lowland,Open,251262.0,38.30277633666992,1.5464032888412476,35.25,37.010009765625,38.209991455078125,39.329986572265625,45.290008544921875
Flight2_cam1-000-000201-0.tif,Lowland,Full,1959162.0,35.88037109375,1.3571691513061523,33.45001220703125,35.010009765625,35.489990234375,36.489990234375,50.69000244140625
Flight2_cam1-000-000201-0.tif,Lowland,Open,771618.0,37.548728942871094,2.0263962745666504,32.57000732421875,36.089996337890625,37.329986572265625,38.529998779296875,46.209991455078125
Flight2_cam1-000-000231-0.tif,Lowland,Full,548316.0,36.047035217285156,0.8084633946418762,34.489990234375,35.529998779296875,35.850006103515625,36.329986572265625,44.170013427734375
Flight2_cam1-000-000231-0.tif,Upland,Full,176988.0,35.85723114013672,0.7634581923484802,34.45001220703125,35.329986572265625,35.649993896484375,36.209991455078125,41.410003662109375
Flight2_cam1-001-000083-0.tif,Lowland,Full,242478.0,37.58945083618164,1.495258092880249,35.410003662109375,36.529998779296875,37.1300048828125,38.209991455078125,47.889984130859375
Flight2_cam1-001-000083-0.tif,Lowland,Open,2310.0,41.805843353271484,2.2337067127227783,37.329986572265625,40.010009765625,42.1300048828125,43.329986572265625,46.92999267578125
Flight2_cam1-001-000083-0.tif,Upland,Full,924498.0,38.951175689697266,2.3257250785827637,34.730010986328125,37.209991455078125,38.3699951171875,40.209991455078125,54.089996337890625
Flight2_cam1-001-000083-0.tif,Upland,Open,708738.0,39.108402252197266,2.1727311611175537,34.57000732421875,37.489990234375,38.850006103515625,40.410003662109375,49.970001220703125
Flight2_cam1-001-000228-0.tif,Lowland,Open,422886.0,39.53982925415039,2.285299062728882,33.489990234375,38.010009765625,39.45001220703125,40.730010986328125,50.57000732421875
Flight2_cam1-001-000228-0.tif,Upland,Open,941766.0,39.00017166137695,2.47663950920105,32.850006103515625,37.04998779296875,38.92999267578125,40.649993896484375,55.80999755859375
Flight2_cam1-001-000261-0.tif,Lowland,Partial,2614584.0,38.679073333740234,3.242152452468872,33.010009765625,36.290008544921875,37.69000244140625,40.3699951171875,53.529998779296875
Flight2_cam1-001-000298-0.tif,Upland,Full,831678.0,39.582637786865234,2.3697307109832764,33.92999267578125,37.649993896484375,39.410003662109375,41.25,52.010009765625
Flight2_cam1-001-000298-0.tif,Upland,Open,1381770.0,39.037384033203125,2.5921542644500732,32.69000244140625,36.970001220703125,39.010009765625,40.889984130859375,59.769989013671875
