,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,RH,RH,RH,RH,RH,RH,RH,RH,STRD,STRD,STRD,STRD,STRD,STRD,STRD,STRD,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,phi,phi,phi,phi,phi,phi,phi,phi,tau,tau,tau,tau,tau,tau,tau,tau,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight2_cam1-000-000155-0.tif,Inside,726392.0,28.737802505493164,0.8184716105461121,26.730010986328125,28.04998779296875,28.850006103515625,29.3699951171875,33.170013427734375,726392.0,1.4339892864227295,2.0688087940216064,0.0,0.14000000059604645,0.25999999046325684,2.180999994277954,12.043000221252441,726392.0,558.6427001953125,2.0300519466400146,554.5650024414062,557.3140258789062,558.7860107421875,560.1480102539062,562.5989990234375,726392.0,0.5835574144792675,0.20048100461741492,0.0,0.44,0.6026785714285714,0.7329396325459314,1.0,726392.0,0.40390339843212303,0.627617136675383,0.0,0.0,0.01646099827303096,0.7613643833902844,7.352930101931116,726392.0,58.355741447926775,20.048100461741488,0.0,44.0,60.26785714285714,73.29396325459314,100.0,726392.0,7209992.556655525,6.519262509737144e-09,7209992.556655519,7209992.556655519,7209992.556655519,7209992.556655519,7209992.556655519,726392.0,327866.5233939553,3.4924620587877555e-10,327866.52339395566,327866.52339395566,327866.52339395566,327866.52339395566,327866.52339395566,726392.0,673.7978515625,0.0,673.7978515625,673.7978515625,673.7978515625,673.7978515625,673.7978515625,726392.0,25.467358333333337,2.842172899404098e-14,25.467358333333365,25.467358333333365,25.467358333333365,25.467358333333365,25.467358333333365,726392.0,62.89792499999993,2.1316296745530734e-14,62.89792499999991,62.89792499999991,62.89792499999991,62.89792499999991,62.89792499999991,726392.0,1469688.0223795776,9.313232156767349e-10,1469688.0223795786,1469688.0223795786,1469688.0223795786,1469688.0223795786,1469688.0223795786,726392.0,115.15526457251646,2.0300518652148023,111.1988525390625,113.64984130859375,115.0118408203125,116.48382568359375,119.23284912109375,726392.0,3605.4995112490305,42.23600381099556,3502.729247154877,3569.9690794651287,3611.129696471217,3638.047980933608,3838.7164122151653,726392.0,0.9894524300862466,0.0001367995747302019,0.9891783099462832,0.9893627318250703,0.9894618503053011,0.9895537964768676,0.9897198359024675,726392.0,0.9633840681064773,0.007772895244002619,0.91,0.96,0.96,0.97,0.97,726392.0,31.81896632713784,1.1142561046948631,29.34487112056604,30.926518414689212,31.904306203437784,32.600208125348445,39.82553215490185
Flight2_cam1-000-000155-0.tif,Outside,2172992.0,28.977745056152344,0.8517711162567139,26.3699951171875,28.410003662109375,29.04998779296875,29.57000732421875,32.45001220703125,2172992.0,0.7167817950248718,1.6647043228149414,0.0,0.09799999743700027,0.1599999964237213,0.5019999742507935,15.461000442504883,2172992.0,554.4855346679688,1.9558788537979126,549.114990234375,553.0449829101562,554.6810302734375,556.0089721679688,559.3400268554688,2172992.0,0.5065334528948462,0.24888796226344742,0.0,0.30357142857142855,0.5,0.7083333333333334,1.0,2172992.0,0.1845705238035916,0.4243500795969747,0.0,0.0,0.0,0.09304003126978563,7.82404601085629,2172992.0,50.653345289484626,24.88879622634475,0.0,30.357142857142854,50.0,70.83333333333334,100.0,2172992.0,7209992.556655473,4.563481665661632e-08,7209992.556655519,7209992.556655519,7209992.556655519,7209992.556655519,7209992.556655519,2172992.0,327866.5233939574,1.746230229207257e-09,327866.52339395566,327866.52339395566,327866.52339395566,327866.52339395566,327866.52339395566,2172992.0,673.7978515625,0.0,673.7978515625,673.7978515625,673.7978515625,673.7978515625,673.7978515625,2172992.0,25.46735833333333,3.552714496271275e-14,25.467358333333365,25.467358333333365,25.467358333333365,25.467358333333365,25.467358333333365,2172992.0,62.897924999999695,2.131628697762765e-13,62.89792499999991,62.89792499999991,62.89792499999991,62.89792499999991,62.89792499999991,2172992.0,1469688.0223795774,1.1641534861381714e-09,1469688.0223795786,1469688.0223795786,1469688.0223795786,1469688.0223795786,1469688.0223795786,2172992.0,119.31207268132667,1.9558788661544355,114.45782470703125,117.78887939453125,119.1168212890625,120.75286865234375,124.682861328125,2172992.0,3617.904743524444,44.01048786674867,3484.5352121871897,3588.4536661701973,3621.4667600118,3648.4366629414903,3800.1607259902353,2172992.0,0.9891732285807848,0.00013081210564452132,0.9888152462888143,0.9890767141102427,0.9891860759865111,0.989275069979726,0.9894992236348761,2172992.0,0.9600224575147996,0.01220955706880087,0.91,0.96,0.96,0.97,0.97,2172992.0,32.30988122989717,1.3305535642488755,28.996821330431885,31.470458654094188,32.32960334262958,32.96891678062187,39.29214104080279
Flight2_cam1-000-000194-0.tif,Inside,705336.0,28.801889419555664,0.9145053625106812,26.57000732421875,28.04998779296875,28.92999267578125,29.529998779296875,32.089996337890625,705336.0,1.1480637788772583,1.6758229732513428,0.0,0.13600000739097595,0.2759999930858612,1.3739999532699585,11.194000244140625,705336.0,552.479736328125,4.300243377685547,543.1950073242188,549.1680297851562,553.1519775390625,556.1279907226562,559.6259765625,705336.0,0.5790142531494311,0.2203965320488151,0.0,0.42105263157894735,0.59375,0.75,1.0,705336.0,0.3973542207659674,0.6235702126600621,0.0,0.0,0.01895748790908754,0.6765682482446086,7.167037876912219,705336.0,57.901425314943104,22.03965320488151,0.0,42.10526315789473,59.375,75.0,100.0,705336.0,7210509.316090543,0.0,7210509.316090543,7210509.316090543,7210509.316090543,7210509.316090543,7210509.316090543,705336.0,327518.8261529095,2.3283080870349934e-10,327518.82615290926,327518.82615290926,327518.82615290926,327518.82615290926,327518.82615290926,705336.0,666.0745849609375,0.0,666.0745849609375,666.0745849609375,666.0745849609375,666.0745849609375,666.0745849609375,705336.0,25.57561388888888,1.7763580986289926e-14,25.575613888888864,25.575613888888864,25.575613888888864,25.575613888888864,25.575613888888864,705336.0,62.57315833333351,9.947605352322359e-14,62.57315833333341,62.57315833333341,62.57315833333341,62.57315833333341,62.57315833333341,705336.0,1470560.0643766634,3.026800513145491e-09,1470560.0643766604,1470560.0643766604,1470560.0643766604,1470560.0643766604,1470560.0643766604,705336.0,113.59485722939138,4.300243390344093,106.4486083984375,109.94659423828125,112.922607421875,116.90655517578125,122.87957763671875,705336.0,3608.846379699482,47.180506071291724,3494.6354996853674,3569.9690794651287,3615.261897942499,3646.357069202343,3780.9758225451023,705336.0,0.9895607914404826,0.00029022821682921936,0.9889372004400614,0.9893364785369518,0.9896051278860467,0.9898070892643913,0.990045931548288,705336.0,0.963157303753105,0.00899324542030357,0.91,0.96,0.96,0.97,0.97,705336.0,31.89254722616088,1.2424432677164379,29.202639490742058,30.922244279600193,31.956597520269554,32.768558947086206,38.92156718232877
Flight2_cam1-000-000194-0.tif,Outside,1804256.0,29.210132598876953,0.721607506275177,26.69000244140625,28.69000244140625,29.290008544921875,29.769989013671875,32.170013427734375,1804256.0,0.3973561227321625,0.6541739106178284,0.0,0.09300000220537186,0.14800000190734863,0.3019999861717224,7.502999782562256,1804256.0,551.0956420898438,2.9705028533935547,544.5280151367188,548.635986328125,551.2739868164062,553.573974609375,556.9349975585938,1804256.0,0.45576512854260937,0.23834069837135594,0.0,0.26774857580544786,0.42857142857142855,0.6333333333333333,1.0,1804256.0,0.11001366432149615,0.3043525621654342,0.0,0.0,0.0,0.044693202392500755,7.863651265448648,1804256.0,45.576512854260905,23.8340698371356,0.0,26.774857580544783,42.857142857142854,63.33333333333333,100.0,1804256.0,7210509.316090567,2.421439365035757e-08,7210509.316090543,7210509.316090543,7210509.316090543,7210509.316090543,7210509.316090543,1804256.0,327518.8261529075,1.7462303113238633e-09,327518.82615290926,327518.82615290926,327518.82615290926,327518.82615290926,327518.82615290926,1804256.0,666.0745849609375,0.0,666.0745849609375,666.0745849609375,666.0745849609375,666.0745849609375,666.0745849609375,1804256.0,25.575613888888903,3.9079861296717315e-14,25.575613888888864,25.575613888888864,25.575613888888864,25.575613888888864,25.575613888888864,1804256.0,62.5731583333332,2.1316287980027628e-13,62.57315833333341,62.57315833333341,62.57315833333341,62.57315833333341,62.57315833333341,1804256.0,1470560.0643766571,3.259629914471211e-09,1470560.0643766604,1470560.0643766604,1470560.0643766604,1470560.0643766604,1470560.0643766604,1804256.0,114.97911700282597,2.970502865892397,109.13958740234375,112.5006103515625,114.80059814453125,117.4385986328125,121.54656982421875,1804256.0,3629.8840529193367,37.350966109690205,3500.7042719780516,3602.8729516349117,3633.898847764774,3658.843008431041,3785.2344558706664,1804256.0,0.9894667450720638,0.00020023091126658834,0.9890259552733601,0.9893007455518332,0.9894782495715289,0.9896336981555786,0.9898620496840985,1804256.0,0.9584366298352343,0.013880824675793895,0.91,0.96,0.96,0.96,0.97,1804256.0,32.63318119681082,1.2757736782259192,29.27463819019323,31.837652462348856,32.577879323903744,33.17613248391443,38.18405024570768
Flight2_cam1-000-000224-0.tif,Inside,1735120.0,28.33879852294922,0.793429434299469,25.850006103515625,27.769989013671875,28.410003662109375,28.970001220703125,30.769989013671875,1735120.0,1.550091028213501,2.06669282913208,0.0,0.12700000405311584,0.4009999930858612,2.556999921798706,11.776000022888184,1735120.0,564.572998046875,2.296401262283325,559.708984375,562.7050170898438,564.5490112304688,566.5230102539062,569.18701171875,1735120.0,0.5459010836515339,0.2000113294621076,0.0,0.39743589743589747,0.5574712643678161,0.6958637469586374,1.0,1735120.0,0.39584163609585427,0.5270036929685701,0.0,0.0,0.08760524531678578,0.7312353966987236,8.120886021092835,1735120.0,54.59010836515342,20.001132946210756,0.0,39.743589743589745,55.74712643678161,69.58637469586374,100.0,1735120.0,7210387.496886233,2.5145716760722045e-08,7210387.496886208,7210387.496886208,7210387.496886208,7210387.496886208,7210387.496886208,1735120.0,327715.40075415524,1.0477381983634186e-09,327715.4007541563,327715.4007541563,327715.4007541563,327715.4007541563,327715.4007541563,1735120.0,682.0614624023438,0.0,682.0614624023438,682.0614624023438,682.0614624023438,682.0614624023438,682.0614624023438,1735120.0,25.659029166666755,1.0658144107700792e-13,25.65902916666665,25.65902916666665,25.65902916666665,25.65902916666665,25.65902916666665,1735120.0,62.322912499999916,1.3500315869754336e-13,62.32291250000005,62.32291250000005,62.32291250000005,62.32291250000005,62.32291250000005,1735120.0,1471232.0079554257,6.5192599009279375e-09,1471232.0079554191,1471232.0079554191,1471232.0079554191,1471232.0079554191,1471232.0079554191,1735120.0,117.48848688070295,2.2964012705373786,112.87445068359375,115.5384521484375,117.512451171875,119.3564453125,122.35247802734375,1735120.0,3584.943608220412,40.73597521597118,3458.3664563260177,3555.635945004862,3588.4536661701973,3617.3299416078853,3711.168356553418,1735120.0,0.9892993268705207,0.00015413758395349316,0.9889739093664202,0.9891738414956297,0.9892974079689357,0.9894301298542736,0.9896099895044146,1735120.0,0.9637627368712255,0.009289440398593404,0.91,0.96,0.96,0.97,0.97,1735120.0,31.398946620605418,1.1347837287896378,28.467228955525,30.59030016779576,31.414256346115167,32.16716488764564,37.131277315076375
Flight2_cam1-000-000224-0.tif,Outside,338784.0,28.372316360473633,0.6096680164337158,26.489990234375,28.010009765625,28.529998779296875,28.80999755859375,30.850006103515625,338784.0,0.9361692070960999,1.7632991075515747,0.0,0.08799999952316284,0.14000000059604645,0.541250005364418,8.104999542236328,338784.0,561.2929077148438,1.6715894937515259,557.8400268554688,559.822998046875,561.3714904785156,562.7670288085938,564.6900024414062,338784.0,0.40197731586069196,0.21497120889723073,0.0,0.22916666666666666,0.375,0.5625,1.0,338784.0,0.18038940872776918,0.39453291448763556,0.0,0.0,0.0,0.07492297861685561,8.188689124444195,338784.0,40.19773158606919,21.497120889723075,0.0,22.916666666666664,37.5,56.25,100.0,338784.0,7210387.496886201,6.51926764388501e-09,7210387.496886208,7210387.496886208,7210387.496886208,7210387.496886208,7210387.496886208,338784.0,327715.4007541562,1.1641549364080377e-10,327715.4007541563,327715.4007541563,327715.4007541563,327715.4007541563,327715.4007541563,338784.0,682.0614624023438,0.0,682.0614624023438,682.0614624023438,682.0614624023438,682.0614624023438,682.0614624023438,338784.0,25.659029166666645,3.55271892214367e-15,25.65902916666665,25.65902916666665,25.65902916666665,25.65902916666665,25.65902916666665,338784.0,62.322912500000086,3.552718922143669e-14,62.32291250000005,62.32291250000005,62.32291250000005,62.32291250000005,62.32291250000005,338784.0,1471232.0079554187,4.656619745632151e-10,1471232.0079554191,1471232.0079554191,1471232.0079554191,1471232.0079554191,1471232.0079554191,338784.0,120.76861623142668,1.6715894457216416,117.3714599609375,119.29443359375,120.68997192382812,122.23846435546875,124.221435546875,338784.0,3586.6051966073014,31.282985531429354,3490.5924638994275,3567.920298738107,3594.628519148743,3609.0639620411494,3715.376087907083,338784.0,0.9890796357702649,0.00011155501477370923,0.9888496992241701,0.9889814992110302,0.9890847263616711,0.9891779904987978,0.9893068721885185,338784.0,0.9597945593652597,0.012768540809682245,0.91,0.96,0.96,0.97,0.97,338784.0,31.712963618035154,1.1474773622267618,29.24834386779321,31.023185491265707,31.77752430636994,32.15153980722343,37.39404409056209
Flight2_cam1-000-000240-0.tif,Inside,1191064.0,28.591249465942383,0.7859289646148682,25.850006103515625,28.170013427734375,28.80999755859375,29.170013427734375,31.1300048828125,1191064.0,1.097678303718567,1.941851258277893,0.0,0.11800000071525574,0.17599999904632568,0.6779999732971191,10.968999862670898,1191064.0,566.5551147460938,1.9180927276611328,561.6300048828125,565.1309814453125,566.5280151367188,568.0139770507812,571.208984375,1191064.0,0.5137164956573027,0.1874952354095901,0.0,0.37349397590361444,0.5128205128205128,0.6504065040650406,1.0,1191064.0,0.22298229740843137,0.45474538337613146,0.0,0.0,0.0,0.1081344425405514,8.439125152732002,1191064.0,51.371649565730294,18.749523540959014,0.0,37.34939759036144,51.28205128205128,65.04065040650406,100.0,1191064.0,7210171.632121777,1.862645931156329e-08,7210171.632121759,7210171.632121759,7210171.632121759,7210171.632121759,7210171.632121759,1191064.0,327860.2159190849,2.910384267431764e-10,327860.2159190852,327860.2159190852,327860.2159190852,327860.2159190852,327860.2159190852,1191064.0,680.3531494140625,0.0,680.3531494140625,680.3531494140625,680.3531494140625,680.3531494140625,680.3531494140625,1191064.0,25.704259722222137,6.394887306368622e-14,25.7042597222222,25.7042597222222,25.7042597222222,25.7042597222222,25.7042597222222,1191064.0,62.187220833333406,7.10543034040958e-15,62.18722083333341,62.18722083333341,62.18722083333341,62.18722083333341,62.18722083333341,1191064.0,1471596.3582540527,3.4924611209181165e-09,1471596.3582540562,1471596.3582540562,1471596.3582540562,1471596.3582540562,1471596.3582540562,1191064.0,113.7980771904299,1.9180927303753728,109.1441650390625,112.33917236328125,113.82513427734375,115.22216796875,118.72314453125,1191064.0,3597.931657912748,40.356578421944306,3458.3664563260177,3576.12472915227,3609.0639620411494,3627.680129601343,3730.1242187958114,1191064.0,0.9895486111123394,0.00012959315148121644,0.9892170969007814,0.9894522940780724,0.9895465573185788,0.9896470838021799,0.9898641683911007,1191064.0,0.9621718396324629,0.007176241285659114,0.91,0.96,0.96,0.97,0.97,1191064.0,31.74144096702001,1.0633844847727352,28.435056424536526,31.161251526626984,32.02196075007464,32.43271114483366,37.51581564145363
Flight2_cam1-000-000240-0.tif,Outside,409864.0,28.37160873413086,0.7938796281814575,26.04998779296875,27.769989013671875,28.57000732421875,29.010009765625,30.649993896484375,409864.0,1.2611570358276367,2.362797737121582,0.0,0.07599999755620956,0.1120000034570694,0.38999998569488525,10.192999839782715,409864.0,561.1521606445312,1.4834777116775513,558.551025390625,559.822021484375,561.156005859375,562.3150024414062,565.0910034179688,409864.0,0.3578360625352217,0.2152356776566664,0.0,0.18421052631578946,0.3188405797101449,0.5151515151515151,1.0,409864.0,0.21299158213073913,0.4303520630335,0.0,0.0,0.0,0.08835463252906157,5.382486165571657,409864.0,35.78360625352217,21.523567765666638,0.0,18.421052631578945,31.88405797101449,51.515151515151516,100.0,409864.0,7210171.6321217595,9.313237107536594e-10,7210171.632121759,7210171.632121759,7210171.632121759,7210171.632121759,7210171.632121759,409864.0,327860.21591908496,2.3283092768841485e-10,327860.2159190852,327860.2159190852,327860.2159190852,327860.2159190852,327860.2159190852,409864.0,680.3531494140625,0.0,680.3531494140625,680.3531494140625,680.3531494140625,680.3531494140625,680.3531494140625,409864.0,25.704259722222194,7.105436025647426e-15,25.7042597222222,25.7042597222222,25.7042597222222,25.7042597222222,25.7042597222222,409864.0,62.18722083333341,0.0,62.18722083333341,62.18722083333341,62.18722083333341,62.18722083333341,62.18722083333341,409864.0,1471596.3582540553,9.313237107536594e-10,1471596.3582540562,1471596.3582540562,1471596.3582540562,1471596.3582540562,1471596.3582540562,409864.0,119.20099517290339,1.483477661255706,115.26214599609375,118.03814697265625,119.1971435546875,120.5311279296875,121.8021240234375,409864.0,3586.6308156007062,40.74341843058168,3468.4153006475726,3555.635945004862,3596.688866045388,3619.3987552638273,3704.864144664578,409864.0,0.9891852335131374,9.929572530031763e-05,0.9890114278527395,0.989096196540003,0.9891853640497962,0.9892630016120723,0.9894496000930324,409864.0,0.9583180762399238,0.015048699361677529,0.91,0.96,0.96,0.96,0.97,409864.0,31.80543608854953,1.3854086738071036,28.670686196820554,30.856525432279568,31.876682116682048,32.414521153805254,37.439105232898896
