,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-001-001236-0.tif,Inside,1367317.0,36.7828369140625,2.1320583820343018,32.209991455078125,35.04998779296875,36.529998779296875,38.329986572265625,49.45001220703125,1367317.0,1.346653938293457,1.3987629413604736,0.0,0.041999999433755875,1.0800000429153442,2.4739999771118164,8.37399959564209,1367317.0,274.5608215332031,1.3686282634735107,268.7699890136719,273.760986328125,274.6390075683594,275.53900146484375,277.32598876953125,1367317.0,0.29582335501337964,0.2307556231214626,0.0,0.06349206349206349,0.29279279279279274,0.48995983935742976,1.0,1367317.0,0.4626687637222695,0.4910156020959811,0.0,0.0,0.288581223552524,0.8836197287147518,2.55055963446089,1367317.0,29.582335501337955,23.075562312146264,0.0,6.349206349206349,29.279279279279276,48.99598393574298,100.0,1367317.0,36.7828369140625,2.1320583820343018,32.209991455078125,35.04998779296875,36.529998779296875,38.329986572265625,49.45001220703125
cam1-001-001236-0.tif,Outside,1868412.0,38.70608139038086,2.6946258544921875,31.850006103515625,36.57000732421875,38.769989013671875,40.6099853515625,49.25,1868412.0,0.8902928829193115,1.266596794128418,0.0,0.026000000536441803,0.05000000074505806,1.7359999418258667,7.164999961853027,1868412.0,278.4801330566406,1.6030163764953613,271.302001953125,277.4339904785156,278.5790100097656,279.70599365234375,281.60699462890625,1868412.0,0.19801261462117664,0.23350509832841776,0.0,0.0,0.07894736842105263,0.37755102040816324,1.0,1868412.0,0.31791898741337726,0.46980793207697175,0.0,0.0,0.0,0.5978085244197279,3.9481620520440197,1868412.0,19.80126146211766,23.350509832841777,0.0,0.0,7.894736842105263,37.755102040816325,100.0,1868412.0,38.70608139038086,2.6946258544921875,31.850006103515625,36.57000732421875,38.769989013671875,40.6099853515625,49.25
cam1-001-001262-0.tif,Inside,85232.0,35.27547073364258,1.670052409172058,32.089996337890625,33.850006103515625,34.970001220703125,36.649993896484375,40.010009765625,85232.0,2.1183183193206787,2.0049891471862793,0.0,0.032999999821186066,2.2384999990463257,3.999000072479248,6.198999881744385,85232.0,268.7066650390625,0.16002751886844635,268.13800048828125,268.5989990234375,268.7279968261719,268.8240051269531,269.09100341796875,85232.0,0.27238659178072905,0.22709824951625956,0.0,0.030612244897959183,0.27005747126436785,0.4749999999999999,1.0,85232.0,0.5164135971189736,0.5044579962513115,0.0,0.0,0.43461786050197976,0.9722660223512383,1.9244556541223612,85232.0,27.238659178072904,22.709824951625958,0.0,3.061224489795918,27.00574712643678,47.49999999999999,100.0,85232.0,35.27547073364258,1.670052409172058,32.089996337890625,33.850006103515625,34.970001220703125,36.649993896484375,40.010009765625
cam1-001-001262-0.tif,Outside,3575089.0,36.970947265625,2.47031307220459,30.1300048828125,34.970001220703125,37.25,38.92999267578125,44.850006103515625,3575089.0,0.9323789477348328,1.598179578781128,0.0,0.023000000044703484,0.0430000014603138,1.7740000486373901,14.012999534606934,3575089.0,268.3999938964844,1.7223718166351318,262.9939880371094,267.73699951171875,268.40399169921875,269.2560119628906,273.0419921875,3575089.0,0.18986454853733287,0.2492252910267534,0.0,0.0,0.042105263157894736,0.35714285714285715,1.0,3575089.0,0.31131615517576866,0.505825199988526,0.0,0.0,0.0,0.526519572954338,3.6997898454316602,3575089.0,18.986454853733267,24.922529102675348,0.0,0.0,4.2105263157894735,35.714285714285715,100.0,3575089.0,36.970947265625,2.47031307220459,30.1300048828125,34.970001220703125,37.25,38.92999267578125,44.850006103515625
cam1-001-001380-0.tif,Inside,2157799.0,36.43104934692383,2.4375202655792236,31.1300048828125,34.489990234375,36.010009765625,38.209991455078125,46.69000244140625,2157799.0,1.926085114479065,1.8823771476745605,0.0,0.04100000113248825,1.7910000085830688,3.434999942779541,8.965999603271484,2157799.0,269.74505615234375,1.0972545146942139,267.2770080566406,268.93499755859375,269.4530029296875,270.24700927734375,273.77801513671875,2157799.0,0.30068656367529006,0.23282161363431206,0.0,0.06060606060606061,0.30742659758203805,0.4938271604938271,1.0,2157799.0,0.5169564917322145,0.504714349487375,0.0,0.0,0.4348257532104493,0.9414452035016236,5.03156487431585,2157799.0,30.06865636752898,23.282161363431207,0.0,6.0606060606060606,30.742659758203807,49.38271604938271,100.0,2157799.0,36.43104934692383,2.4375202655792236,31.1300048828125,34.489990234375,36.010009765625,38.209991455078125,46.69000244140625
cam1-001-001380-0.tif,Outside,1127392.0,38.78160095214844,2.4751944541931152,32.45001220703125,36.889984130859375,39.170013427734375,40.6099853515625,49.489990234375,1127392.0,0.6508423686027527,1.0584276914596558,0.0,0.02199999988079071,0.03700000047683716,1.2139999866485596,6.230000019073486,1127392.0,271.4908447265625,1.4951300621032715,268.7799987792969,270.2829895019531,271.43499755859375,272.64300537109375,274.99200439453125,1127392.0,0.16316190605410646,0.2306992259653863,0.0,0.0,0.02564102564102564,0.2875,1.0,1127392.0,0.24330161999687244,0.432484478984832,0.0,0.0,0.0,0.3206853001503588,3.060780176598268,1127392.0,16.316190605410647,23.069922596538635,0.0,0.0,2.564102564102564,28.749999999999996,100.0,1127392.0,38.78160095214844,2.4751944541931152,32.45001220703125,36.889984130859375,39.170013427734375,40.6099853515625,49.489990234375
cam1-001-001405-0.tif,Inside,1107827.0,36.225162506103516,1.9385756254196167,31.69000244140625,34.649993896484375,35.92999267578125,37.69000244140625,44.010009765625,1107827.0,1.4140691757202148,1.406950831413269,0.0,0.03799999877810478,1.3209999799728394,2.4549999237060547,8.065999984741211,1107827.0,274.5469055175781,1.7036606073379517,269.4150085449219,273.4330139160156,274.6300048828125,275.7250061035156,278.2070007324219,1107827.0,0.2988193845826845,0.23267528238582136,0.0,0.05454545454545454,0.30869565217391304,0.4949494949494948,1.0,1107827.0,0.493902969928226,0.4937830163516415,0.0,0.0,0.3815532436339055,0.9142186825210055,2.806982424433103,1107827.0,29.88193845826844,23.26752823858214,0.0,5.454545454545454,30.869565217391305,49.49494949494948,100.0,1107827.0,36.225162506103516,1.9385756254196167,31.69000244140625,34.649993896484375,35.92999267578125,37.69000244140625,44.010009765625
cam1-001-001405-0.tif,Outside,1941695.0,36.417198181152344,2.1669671535491943,30.80999755859375,34.57000732421875,36.3699951171875,38.209991455078125,44.529998779296875,1941695.0,1.077244758605957,1.4175174236297607,0.0,0.01899999938905239,0.07199999690055847,2.0759999752044678,7.355999946594238,1941695.0,275.027587890625,1.8679569959640503,269.78900146484375,273.760986328125,275.3699951171875,276.49700927734375,278.73199462890625,1941695.0,0.2486762167763855,0.26386929373032103,0.0,0.0,0.15384615384615385,0.47619047619047616,1.0,1941695.0,0.42362113934275736,0.5691682955198443,0.0,0.0,0.013559373970757608,0.8312141594691216,5.545177444479562,1941695.0,24.867621677638557,26.386929373032103,0.0,0.0,15.384615384615385,47.61904761904761,100.0,1941695.0,36.417198181152344,2.1669671535491943,30.80999755859375,34.57000732421875,36.3699951171875,38.209991455078125,44.529998779296875
