,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,RH,RH,RH,RH,RH,RH,RH,RH,STRD,STRD,STRD,STRD,STRD,STRD,STRD,STRD,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,phi,phi,phi,phi,phi,phi,phi,phi,tau,tau,tau,tau,tau,tau,tau,tau,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight2_cam1-000-000201-0.tif,Inside,1302876.0,35.88077926635742,1.3586978912353516,33.45001220703125,35.010009765625,35.489990234375,36.489990234375,50.69000244140625,1302876.0,2.744671583175659,3.227243185043335,0.0,0.2590000033378601,1.5169999599456787,4.064000129699707,17.167999267578125,1302876.0,224.78868103027344,1.5233795642852783,221.75599670410156,223.72300720214844,224.19500732421875,225.9929962158203,231.5290069580078,1302876.0,0.7029551815473951,0.19507926697999206,0.0,0.5930232558139535,0.725,0.85,1.0,1302876.0,1.0368458054453282,0.89615241234207,0.0,0.0,1.1252343200702852,1.653427173154188,7.657282792978191,1302876.0,70.2955181547395,19.50792669799921,0.0,59.30232558139535,72.5,85.0,100.0,1302876.0,-3099279.836712121,6.519260524181811e-09,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,1302876.0,3483527.7125123274,8.847567854246743e-09,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,1302876.0,342.75079345703125,0.0,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,1302876.0,30.677721611111238,1.1723959639304012e-13,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,1302876.0,57.32595813888901,1.350031716041068e-13,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,1302876.0,1519382.7208641234,2.793968796077919e-09,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,1302876.0,117.96213578417918,1.523379494208536,111.22178649902344,116.75779724121094,118.5557861328125,119.02778625488281,120.99479675292969,1302876.0,3986.567057973555,75.86364677011537,3853.7777335623305,3938.383694579672,3964.651651094398,4019.7362330746164,4854.138071724592,1302876.0,0.9897346051860798,0.00010065039385901789,0.9895347269390383,0.9896641809463149,0.9896953042564083,0.9898140773463098,0.990181982409063,1302876.0,0.9657611008261726,0.009456137563390726,0.91,0.96,0.97,0.97,0.97,1302876.0,38.91542666416879,1.7904893425291581,36.152562067095005,37.73775288247185,38.30659515056129,39.71359289783544,58.40083764796816
Flight2_cam1-000-000201-0.tif,Outside,511332.0,37.55351638793945,2.0313000679016113,32.57000732421875,36.04998779296875,37.3699951171875,38.529998779296875,46.209991455078125,511332.0,0.5999686121940613,1.170957326889038,0.0,0.05400000140070915,0.09399999678134918,0.2680000066757202,9.286999702453613,511332.0,225.85848999023438,1.244174599647522,221.9080047607422,224.83900451660156,226.04400634765625,226.88299560546875,228.04100036621094,511332.0,0.42113256924933723,0.2634865242659391,0.0,0.2,0.4,0.62,1.0,511332.0,0.2561115531571795,0.5487919067125546,0.0,0.0,0.0,0.05333649416432259,5.129898714923075,511332.0,42.11325692493371,26.348652426593908,0.0,20.0,40.0,62.0,100.0,511332.0,-3099279.8367121187,4.190955683848527e-09,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,511332.0,3483527.7125123367,4.656617426498363e-10,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,511332.0,342.75079345703125,0.0,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,511332.0,30.677721611111114,7.105434305570012e-15,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,511332.0,57.32595813888884,2.842173722228005e-14,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,511332.0,1519382.720864127,6.984926139747544e-10,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,511332.0,116.89234607247094,1.2441745646551872,114.70979309082031,115.8677978515625,116.706787109375,117.91178894042969,120.84278869628906,511332.0,4079.8483129711644,114.35166673511861,3806.569038849618,3995.4393627340974,4068.6106416161792,4133.607790681667,4580.353780585731,511332.0,0.9898052598295013,8.225171406635739e-05,0.9895447167703436,0.9897378066425631,0.9898174520308564,0.9898729972441429,0.9899497879230552,511332.0,0.9509105630001644,0.022337059118115336,0.91,0.96,0.96,0.96,0.97,511332.0,41.68421646099671,3.1924095259172627,35.258894627584425,39.34097726882209,40.97691450254149,43.6797969674854,53.69540473804966
Flight2_cam1-001-000217-0.tif,Inside,371892.0,38.51595687866211,2.6520111560821533,34.04998779296875,36.57000732421875,37.80999755859375,39.80999755859375,52.529998779296875,371892.0,2.7895190715789795,2.2480788230895996,0.0,1.194000005722046,2.444999933242798,3.8570001125335693,13.187000274658203,371892.0,234.4695587158203,1.8063058853149414,231.4320068359375,233.072998046875,234.13099670410156,235.59800720214844,240.1060028076172,371892.0,0.6485291837546636,0.17982028676493014,0.0,0.5583333333333332,0.6666666666666666,0.768888888888889,1.0,371892.0,1.0755453536168458,0.6916475820784083,0.0,0.5488736914035205,1.1586746104797134,1.5241654501457322,6.516193076042966,371892.0,64.85291837546637,17.982028676493012,0.0,55.83333333333332,66.66666666666666,76.8888888888889,100.0,371892.0,-3099256.4558077757,2.3283095668979566e-09,-3099256.455807778,-3099256.455807778,-3099256.455807778,-3099256.455807778,-3099256.455807778,371892.0,3483856.154946911,2.3283095668979566e-09,3483856.154946909,3483856.154946909,3483856.154946909,3483856.154946909,3483856.154946909,371892.0,343.19403076171875,0.0,343.19403076171875,343.19403076171875,343.19403076171875,343.19403076171875,343.19403076171875,371892.0,31.15699761111113,1.0658155366048996e-14,31.15699761111112,31.15699761111112,31.15699761111112,31.15699761111112,31.15699761111112,371892.0,55.9223641388889,3.552718455349665e-14,55.92236413888887,55.92236413888887,55.92236413888887,55.92236413888887,55.92236413888887,371892.0,1525271.6542288067,2.3283095668979565e-10,1525271.6542288065,1525271.6542288065,1525271.6542288065,1525271.6542288065,1525271.6542288065,371892.0,108.72443754954342,1.8063058837817723,103.08802795410156,107.59602355957031,109.06303405761719,110.12103271484375,111.76202392578125,371892.0,4134.517907574987,151.3145907906635,3886.178201435556,4024.1648178724217,4093.1882110090737,4206.083612981476,4969.397198955659,371892.0,0.9903521345844339,0.00012124616076984486,0.9901488163700418,0.9902584189730944,0.9903292473902036,0.9904276738369757,0.990731748831002,371892.0,0.9665382422853949,0.010952292434895336,0.91,0.97,0.97,0.97,0.97,371892.0,41.504779121467784,3.107601891129092,36.70253057067532,39.28237596440465,40.577235605230726,42.82983334473363,59.588614827301626
Flight2_cam1-001-000217-0.tif,Outside,1027392.0,39.54508972167969,2.6185245513916016,32.80999755859375,37.529998779296875,39.489990234375,41.3699951171875,56.089996337890625,1027392.0,0.9469414353370667,1.240952491760254,0.0,0.09200000017881393,0.22499999403953552,1.7039999961853027,9.840999603271484,1027392.0,238.0635223388672,2.6756064891815186,231.88800048828125,235.88999938964844,238.42150115966797,240.28399658203125,243.0989990234375,1027392.0,0.5186799858455445,0.22508049206493586,0.0,0.36363636363636365,0.5396825396825397,0.6875,1.0,1027392.0,0.3858042801748527,0.5385170975093143,0.0,0.0,0.05333649416432259,0.7174721146529499,4.969813299576,1027392.0,51.86799858455448,22.508049206493595,0.0,36.36363636363637,53.96825396825397,68.75,100.0,1027392.0,-3099256.4558077846,6.519261195032481e-09,-3099256.455807778,-3099256.455807778,-3099256.455807778,-3099256.455807778,-3099256.455807778,1027392.0,3483856.1549469186,9.77889179254872e-09,3483856.154946909,3483856.154946909,3483856.154946909,3483856.154946909,3483856.154946909,1027392.0,343.19403076171875,0.0,343.19403076171875,343.19403076171875,343.19403076171875,343.19403076171875,343.19403076171875,1027392.0,31.156997611111027,9.237060060274642e-14,31.15699761111112,31.15699761111112,31.15699761111112,31.15699761111112,31.15699761111112,1027392.0,55.92236413888893,6.39488773403629e-14,55.92236413888887,55.92236413888887,55.92236413888887,55.92236413888887,55.92236413888887,1027392.0,1525271.6542288065,0.0,1525271.6542288065,1525271.6542288065,1525271.6542288065,1525271.6542288065,1525271.6542288065,1027392.0,105.13051423068241,2.6756064012211724,100.09503173828125,102.9100341796875,104.77252960205078,107.30403137207031,111.3060302734375,1027392.0,4192.67662602637,149.29659616064444,3819.406496991128,4077.5372660510066,4187.88993480905,4295.485017873048,5197.043913993692,1027392.0,0.9905941073345386,0.00018041785447385562,0.990179241611592,0.9904472948809688,0.9906178343016934,0.9907438063416087,0.9909350337498811,1027392.0,0.9587638992711642,0.017373736445103528,0.91,0.96,0.96,0.97,0.97,1027392.0,43.0941701462504,3.3293534215545186,35.423676798399015,40.54741428080588,42.86727886182632,45.120283813674206,59.911061867754654
Flight2_cam1-001-000301-0.tif,Inside,911516.0,39.442352294921875,2.4595677852630615,33.410003662109375,37.489990234375,39.209991455078125,41.1300048828125,51.769989013671875,911516.0,2.0538175106048584,1.7772005796432495,0.0,0.699999988079071,1.7330000400543213,2.8389999866485596,11.656000137329102,911516.0,239.897705078125,1.2733936309814453,236.69000244140625,238.9409942626953,239.89500427246094,240.84100341796875,242.74600219726562,911516.0,0.6738364341185274,0.16195448801116116,0.0,0.5769230769230769,0.6797385620915031,0.7848484848484848,1.0,911516.0,0.8789455943439269,0.7018562590797066,0.0,0.26706278524904525,0.8257222316716508,1.3260444595969085,7.657282792978191,911516.0,67.3836434118528,16.195448801116115,0.0,57.692307692307686,67.97385620915031,78.48484848484848,100.0,911516.0,-3099390.8543157945,5.5879385128831945e-09,-3099390.854315789,-3099390.854315789,-3099390.854315789,-3099390.854315789,-3099390.854315789,911516.0,3484018.000131069,4.190953884662396e-09,3484018.000131065,3484018.000131065,3484018.000131065,3484018.000131065,3484018.000131065,911516.0,342.9950561523437,0.0,342.9950561523437,342.9950561523437,342.9950561523437,342.9950561523437,342.9950561523437,911516.0,31.222499722222306,9.237060631749665e-14,31.222499722222214,31.222499722222214,31.222499722222214,31.222499722222214,31.222499722222214,911516.0,55.73053652777791,9.94760375726887e-14,55.73053652777781,55.73053652777781,55.73053652777781,55.73053652777781,55.73053652777781,911516.0,1526076.4881190471,0.0,1526076.4881190471,1526076.4881190471,1526076.4881190471,1526076.4881190471,1526076.4881190471,911516.0,103.09730639452323,1.273393620982471,100.24905395507807,102.15405273437494,103.10005187988276,104.05406188964838,106.30505371093744,911516.0,4186.64922899258,140.3343278912404,3851.6233309148297,4075.304023965528,4172.011529931724,4281.654859575063,4921.591033962916,911516.0,0.990731472652364,8.624308350664863e-05,0.9905147530466356,0.9906666288269445,0.9907311849890987,0.9907953118214652,0.990924792972745,911516.0,0.9670452301440677,0.00806624270012798,0.91,0.97,0.97,0.97,0.97,911516.0,42.37863778743927,2.7203623735606897,36.02665476418633,40.2594361003637,42.05185665572583,44.158152551809394,57.53956465816856
Flight2_cam1-001-000301-0.tif,Outside,514000.0,38.89317321777344,2.65627384185791,32.57000732421875,36.769989013671875,38.850006103515625,40.69000244140625,61.329986572265625,514000.0,1.0659551620483398,1.394068956375122,0.0,0.0949999988079071,0.22699999809265137,1.9279999732971191,9.196000099182129,514000.0,243.11119079589844,1.2619189023971558,238.9010009765625,242.2469940185547,243.1959991455078,244.1199951171875,246.0469970703125,514000.0,0.5176535345752133,0.21703183162105302,0.0,0.375,0.5387596899224806,0.6739130434782609,1.0,514000.0,0.3987609448979252,0.5394268463638782,0.0,0.0,0.05970592629936232,0.7721071862071462,5.416100402204421,514000.0,51.765353457521336,21.703183162105308,0.0,37.5,53.875968992248055,67.3913043478261,100.0,514000.0,-3099390.854315788,9.313234805726123e-10,-3099390.854315789,-3099390.854315789,-3099390.854315789,-3099390.854315789,-3099390.854315789,514000.0,3484018.0001310683,3.259632182004143e-09,3484018.000131065,3484018.000131065,3484018.000131065,3484018.000131065,3484018.000131065,514000.0,342.9950561523437,0.0,342.9950561523437,342.9950561523437,342.9950561523437,342.9950561523437,342.9950561523437,514000.0,31.222499722222214,0.0,31.222499722222214,31.222499722222214,31.222499722222214,31.222499722222214,31.222499722222214,514000.0,55.73053652777785,4.2632605617032424e-14,55.73053652777781,55.73053652777781,55.73053652777781,55.73053652777781,55.73053652777781,514000.0,1526076.4881190495,2.3283087014315306e-09,1526076.4881190471,1526076.4881190471,1526076.4881190471,1526076.4881190471,1526076.4881190471,514000.0,99.88384178963152,1.261918908040545,96.9480590820312,98.8750610351562,99.79905700683588,100.748062133789,104.0940551757812,514000.0,4155.797404797383,150.80801276806875,3806.569038849618,4035.2464311006775,4151.652891871336,4256.3707798060095,5543.243584529234,514000.0,0.9909497736229367,8.595295602390405e-05,0.9906639250259212,0.9908908306358428,0.9909554473970068,0.9910184745489863,0.9911502837500993,514000.0,0.9593365758754865,0.016815088133900327,0.91,0.96,0.96,0.97,0.97,514000.0,42.360652243123134,3.3931172874619313,35.16148983691113,39.70736634226604,42.12137995580261,44.38365357791652,67.59380537885517
Flight2_cam1-002-000147-0.tif,Inside,8776.0,37.87637710571289,1.228486180305481,35.649993896484375,36.970001220703125,37.6099853515625,38.649993896484375,42.209991455078125,8776.0,1.8852949142456055,1.1751617193222046,0.0,0.9700000286102295,1.9295000433921814,2.6410000324249268,5.818999767303467,8776.0,240.04244995117188,0.35436752438545227,239.0749969482422,239.83999633789062,240.03900146484375,240.3040008544922,240.72999572753906,8776.0,0.6639109637716375,0.17884072610537333,0.0,0.575,0.6785714285714286,0.7777777777777778,1.0,8776.0,0.9418002454305316,0.7112031411040327,0.0,0.43128145584024413,0.8962396714914627,1.3080067113102951,5.6742544867547045,8776.0,66.39109637716375,17.88407261053733,0.0,57.49999999999999,67.85714285714286,77.77777777777779,100.0,8776.0,-3099421.404987516,4.656878199585291e-10,-3099421.4049875163,-3099421.4049875163,-3099421.4049875163,-3099421.4049875163,-3099421.4049875163,8776.0,3484253.524110275,9.313756399170581e-10,3484253.524110276,3484253.524110276,3484253.524110276,3484253.524110276,3484253.524110276,8776.0,344.5668334960937,0.0,344.5668334960937,344.5668334960937,344.5668334960937,344.5668334960937,344.5668334960937,8776.0,31.622571111111096,7.105832213722673e-15,31.622571111111103,31.622571111111103,31.622571111111103,31.622571111111103,31.622571111111103,8776.0,54.55889888888893,2.1317496641168016e-14,54.55889888888891,54.55889888888891,54.55889888888891,54.55889888888891,54.55889888888891,8776.0,1530992.2229989108,2.3284390997926454e-10,1530992.222998911,1530992.222998911,1530992.222998911,1530992.222998911,1530992.222998911,8776.0,104.52438232783523,0.35436753957768813,103.83683776855463,104.2628326416015,104.52783203124994,104.72683715820307,105.4918365478515,8776.0,4097.269097063068,69.0625177709317,3973.4329218991056,4046.3490668561262,4082.0043666010315,4140.3684703714225,4344.111817107354,8776.0,0.9906356583476302,2.3935102129397072e-05,0.9905703578938599,0.9906219776008529,0.9906354175922337,0.9906533221437199,0.9906821224823756,8776.0,0.9672880583409298,0.008786520293154108,0.91,0.97,0.97,0.97,0.97,8776.0,40.772756323016615,1.5296916382770307,38.317026237527955,39.701624485158845,40.39091114089632,41.49157067586981,48.890797805076545
Flight2_cam1-002-000147-0.tif,Outside,49340.0,39.045162200927734,2.51698637008667,35.010009765625,37.1300048828125,38.57000732421875,40.329986572265625,47.69000244140625,49340.0,0.7886782884597778,1.1225082874298096,0.0,0.06199999898672104,0.14900000393390656,1.3990000486373901,6.0279998779296875,49340.0,241.1224365234375,0.4797741770744324,239.86700439453125,240.7550048828125,241.11599731445312,241.4770050048828,243.17999267578125,49340.0,0.4407035677495663,0.2568930048008486,0.0,0.23076923076923078,0.4666666666666667,0.6428571428571429,1.0,49340.0,0.3084751576924739,0.4985252837387621,0.0,0.0,0.0,0.4943814221940881,2.6916059995303074,49340.0,44.070356774956636,25.68930048008486,0.0,23.076923076923077,46.666666666666664,64.28571428571429,100.0,49340.0,-3099421.4049875163,0.0,-3099421.4049875163,-3099421.4049875163,-3099421.4049875163,-3099421.4049875163,-3099421.4049875163,49340.0,3484253.524110274,1.8626640251274217e-09,3484253.524110276,3484253.524110276,3484253.524110276,3484253.524110276,3484253.524110276,49340.0,344.5668334960937,0.0,344.5668334960937,344.5668334960937,344.5668334960937,344.5668334960937,344.5668334960937,49340.0,31.622571111111093,1.0658249045147447e-14,31.622571111111103,31.622571111111103,31.622571111111103,31.622571111111103,31.622571111111103,49340.0,54.55889888888895,3.552749681715816e-14,54.55889888888891,54.55889888888891,54.55889888888891,54.55889888888891,54.55889888888891,49340.0,1530992.222998911,0.0,1530992.222998911,1530992.222998911,1530992.222998911,1530992.222998911,1530992.222998911,49340.0,103.4443854125927,0.4797741904917386,101.38684082031244,103.08982849121088,103.45083618164057,103.8118286132812,104.69982910156244,49340.0,4164.214174121529,143.7984174449016,3938.383694579672,4055.244756589744,4135.861149974648,4235.7526822929785,4669.726629472224,49340.0,0.9907086894417914,3.247545408389652e-05,0.9906238013286394,0.9906838139821506,0.9907082384594303,0.9907326802446635,0.9908482016221771,49340.0,0.9534746655857319,0.02195362382337215,0.91,0.96,0.96,0.97,0.97,49340.0,42.96260254127761,3.6120982036504734,37.66431042353804,40.26200764182812,42.05691333665209,44.71316395545563,55.16558821804898
