,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,RH,RH,RH,RH,RH,RH,RH,RH,STRD,STRD,STRD,STRD,STRD,STRD,STRD,STRD,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,phi,phi,phi,phi,phi,phi,phi,phi,tau,tau,tau,tau,tau,tau,tau,tau,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-000-000098-0.tif,Upland,Inside,387690.0,35.46232223510742,1.1077567338943481,32.329986572265625,34.649993896484375,35.489990234375,36.170013427734375,41.089996337890625,387690.0,1.3956105709075928,2.2094674110412598,0.0,0.1589999943971634,0.2849999964237213,1.4299999475479126,9.347000122070312,387690.0,392226.1875,123.47933959960938,391914.0,392133.0,392219.0,392312.0,392743.0,387690.0,0.6655840808102087,0.22899207929405205,0.0,0.5348837209302325,0.7051282051282052,0.8404255319148937,1.0,387690.0,0.27991854945971806,0.4886095032736988,0.0,0.0,0.0,0.38961319709391207,3.4215808133887755,387690.0,66.55840808102084,22.899207929405208,0.0,53.48837209302325,70.51282051282051,84.04255319148936,100.0,387690.0,7479251.4981093025,9.31323775735415e-10,7479251.498109303,7479251.498109303,7479251.498109303,7479251.498109303,7479251.498109303,387690.0,320438.4663870017,2.9103867991731717e-10,320438.4663870014,320438.4663870014,320438.4663870014,320438.4663870014,320438.4663870014,387690.0,500.1976623535156,0.0,500.1976623535156,500.1976623535156,500.1976623535156,500.1976623535156,500.1976623535156,387690.0,28.45524456666672,2.842174608567551e-14,28.455244566666693,28.455244566666693,28.455244566666693,28.455244566666693,28.455244566666693,387690.0,60.61197291666664,2.842174608567551e-14,60.61197291666661,60.61197291666661,60.61197291666661,60.61197291666661,60.61197291666661,387690.0,1555747.3430249991,2.3283094393385377e-10,1555747.3430249994,1555747.3430249994,1555747.3430249994,1555747.3430249994,1555747.3430249994,387690.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,387690.0,3963.430644389784,60.82770469389506,3793.757729461095,3918.754075323871,3964.651651094398,4002.057882698798,4279.351957133908,387690.0,0.990782714019993,3.330673369415098e-16,0.9907827140199933,0.9907827140199933,0.9907827140199933,0.9907827140199933,0.9907827140199933,387690.0,0.9609288348938588,0.011701188149182565,0.91,0.96,0.96,0.97,0.97,387690.0,38.737368465772164,1.5893547902215515,34.92642978974794,37.65119366509367,38.738454225981116,39.555562079309254,48.241234039757444
cam1-000-000098-0.tif,Upland,Outside,970735.0,38.00629425048828,1.5980737209320068,33.04998779296875,37.04998779296875,38.010009765625,39.010009765625,42.970001220703125,970735.0,0.23018774390220642,0.6158836483955383,0.0,0.019999999552965164,0.04399999976158142,0.07999999821186066,6.427000045776367,970735.0,391842.34375,338.2808532714844,391139.0,391598.0,391786.0,392068.0,392722.0,970735.0,0.18793189810605565,0.23544542627845277,0.0,0.0,0.0967741935483871,0.2835820895522388,1.0,970735.0,0.10193561016782694,0.339649338360191,0.0,0.0,0.0,0.0,5.99146454710798,970735.0,18.793189810605558,23.54454262784527,0.0,0.0,9.67741935483871,28.35820895522388,100.0,970735.0,7479251.498109314,1.024455359747103e-08,7479251.498109303,7479251.498109303,7479251.498109303,7479251.498109303,7479251.498109303,970735.0,320438.46638700116,2.32830763578887e-10,320438.4663870014,320438.4663870014,320438.4663870014,320438.4663870014,320438.4663870014,970735.0,500.1976623535156,0.0,500.1976623535156,500.1976623535156,500.1976623535156,500.1976623535156,500.1976623535156,970735.0,28.455244566666774,8.171245670035403e-14,28.455244566666693,28.455244566666693,28.455244566666693,28.455244566666693,28.455244566666693,970735.0,60.61197291666665,4.263258610453254e-14,60.61197291666661,60.61197291666661,60.61197291666661,60.61197291666661,60.61197291666661,970735.0,1555747.3430249991,2.32830763578887e-10,1555747.3430249994,1555747.3430249994,1555747.3430249994,1555747.3430249994,1555747.3430249994,970735.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,970735.0,4104.800671670477,89.52116941600067,3832.2717350187045,4050.794516702438,4104.391395596838,4160.6940132985565,4388.40248092563,970735.0,0.990782714019996,2.6645366315332836e-15,0.9907827140199933,0.9907827140199933,0.9907827140199933,0.9907827140199933,0.9907827140199933,970735.0,0.9330286844504423,0.026116538471325345,0.91,0.91,0.91,0.96,0.97,970735.0,43.35759634426601,2.9702903025667773,35.65841655493449,40.98560668284563,43.968666860460814,45.6888238383803,50.208315543606716
cam1-000-000108-0.tif,Upland,Inside,702435.0,35.742919921875,1.2207984924316406,32.45001220703125,34.850006103515625,35.80999755859375,36.57000732421875,40.850006103515625,702435.0,1.1885958909988403,1.9919230937957764,0.0,0.12300000339746475,0.2529999911785126,1.50600004196167,11.772000312805176,702435.0,392078.6875,159.50204467773438,391540.0,391957.0,392090.0,392207.0,392966.0,702435.0,0.5831607354783154,0.24281528717536816,0.0,0.40625,0.6159420289855072,0.775,1.0,702435.0,0.31488663052237464,0.5214798475039476,0.0,0.0,0.0,0.5092605762272263,3.807431662888466,702435.0,58.31607354783154,24.281528717536816,0.0,40.625,61.59420289855072,77.5,100.0,702435.0,7479270.829254163,1.1175878850486803e-08,7479270.829254175,7479270.829254175,7479270.829254175,7479270.829254175,7479270.829254175,702435.0,320603.1635652325,1.746231070388563e-10,320603.1635652323,320603.1635652323,320603.1635652323,320603.1635652323,320603.1635652323,702435.0,499.8056640625,0.0,499.8056640625,499.8056640625,499.8056640625,499.8056640625,499.8056640625,702435.0,28.475113433333274,3.197444586893121e-14,28.475113433333306,28.475113433333306,28.475113433333306,28.475113433333306,28.475113433333306,702435.0,60.56915208333339,0.0,60.56915208333339,60.56915208333339,60.56915208333339,60.56915208333339,60.56915208333339,702435.0,1556356.5145694169,2.3283080938514176e-10,1556356.514569417,1556356.514569417,1556356.514569417,1556356.514569417,1556356.514569417,702435.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,702435.0,3978.8991001228337,67.11772812618214,3800.1607259902353,3929.6518778832,3982.226559078482,4024.1648178724217,4265.554312050371,702435.0,0.9907836242708136,3.330671444680334e-16,0.9907836242708132,0.9907836242708132,0.9907836242708132,0.9907836242708132,0.9907836242708132,702435.0,0.9603693580188915,0.013446115089667733,0.91,0.96,0.96,0.97,0.97,702435.0,39.064682763829246,1.7597381538549266,35.04829044134681,37.81371955881508,39.074538256813014,39.963939191603856,47.780565038901045
cam1-000-000108-0.tif,Upland,Outside,974660.0,37.92654800415039,1.3460732698440552,32.970001220703125,37.170013427734375,38.010009765625,38.80999755859375,42.209991455078125,974660.0,0.22691817581653595,0.6302422881126404,0.0,0.03200000151991844,0.052000001072883606,0.08399999886751175,6.361000061035156,974660.0,391286.96875,268.55950927734375,390533.0,391111.0,391298.0,391493.0,392123.0,974660.0,0.19591781015748935,0.21493860813235893,0.0,0.030303030303030304,0.12,0.2948717948717949,1.0,974660.0,0.08221568423359736,0.296399626034194,0.0,0.0,0.0,0.0,4.523526196947582,974660.0,19.591781015748932,21.493860813235894,0.0,3.0303030303030303,12.0,29.48717948717949,100.0,974660.0,7479270.82925416,1.4901168838140365e-08,7479270.829254175,7479270.829254175,7479270.829254175,7479270.829254175,7479270.829254175,974660.0,320603.16356523277,4.656615261918864e-10,320603.1635652323,320603.1635652323,320603.1635652323,320603.1635652323,320603.1635652323,974660.0,499.8056640625,0.0,499.8056640625,499.8056640625,499.8056640625,499.8056640625,499.8056640625,974660.0,28.47511343333327,3.552715501341906e-14,28.475113433333306,28.475113433333306,28.475113433333306,28.475113433333306,28.475113433333306,974660.0,60.56915208333339,0.0,60.56915208333339,60.56915208333339,60.56915208333339,60.56915208333339,60.56915208333339,974660.0,1556356.5145694206,3.4924614464391477e-09,1556356.514569417,1556356.514569417,1556356.514569417,1556356.514569417,1556356.514569417,974660.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,974660.0,4100.152376466865,75.25182495328747,3827.980780963926,4057.4710370153216,4104.391395596838,4149.394115366126,4344.111817107354,974660.0,0.9907836242708149,1.6653353912540187e-15,0.9907836242708132,0.9907836242708132,0.9907836242708132,0.9907836242708132,0.9907836242708132,974660.0,0.9367725155438821,0.025948586392635913,0.91,0.91,0.96,0.96,0.97,974660.0,43.00017601213525,2.6681907910153533,35.57693625629872,40.9037098780139,42.90595720032735,45.311962115348706,49.119743210213244
cam1-000-000117-0.tif,Upland,Inside,623315.0,36.23810577392578,1.462691307067871,31.970001220703125,35.209991455078125,36.410003662109375,37.290008544921875,42.290008544921875,623315.0,1.2743513584136963,2.2847890853881836,0.0,0.09200000017881393,0.17000000178813934,1.215999960899353,11.625,623315.0,391438.46875,282.9600830078125,390745.0,391223.0,391433.0,391648.0,392584.0,623315.0,0.4904750083636194,0.23945584339950812,0.0,0.30158730158730157,0.49557522123893805,0.6790123456790123,1.0,623315.0,0.28554740468426665,0.5079022920063232,0.0,0.0,0.0,0.38728767402080483,5.610203137672608,623315.0,49.04750083636191,23.945584339950816,0.0,30.158730158730158,49.557522123893804,67.90123456790123,100.0,623315.0,7479287.062182015,1.8626466433770876e-09,7479287.062182013,7479287.062182013,7479287.062182013,7479287.062182013,7479287.062182013,623315.0,320746.42939396197,1.1641541521106797e-10,320746.42939396185,320746.42939396185,320746.42939396185,320746.42939396185,320746.42939396185,623315.0,499.7035827636719,0.0,499.7035827636719,499.7035827636719,499.7035827636719,499.7035827636719,499.7035827636719,623315.0,28.49253083333336,1.065814958597424e-14,28.492530833333348,28.492530833333348,28.492530833333348,28.492530833333348,28.492530833333348,623315.0,60.53161458333337,6.394889751584543e-14,60.53161458333331,60.53161458333331,60.53161458333331,60.53161458333331,60.53161458333331,623315.0,1556890.5251214947,1.3969849825328156e-09,1556890.5251214933,1556890.5251214933,1556890.5251214933,1556890.5251214933,1556890.5251214933,623315.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,623315.0,4006.3331051124205,80.65080898850255,3774.5952822148165,3949.314598485665,4015.3124293887645,4064.152820136436,4348.76176236364,623315.0,0.9907844210541878,8.8817913216452e-16,0.9907844210541887,0.9907844210541887,0.9907844210541887,0.9907844210541887,0.9907844210541887,623315.0,0.9589067325509575,0.015259519412688846,0.91,0.96,0.96,0.97,0.97,623315.0,39.6745583481869,2.055445095626667,34.56015839498838,38.26093340034828,39.75950208444311,40.78096830551709,49.496137831486294
cam1-000-000117-0.tif,Upland,Outside,1005375.0,38.45463943481445,1.5646589994430542,33.170013427734375,37.529998779296875,38.45001220703125,39.529998779296875,42.889984130859375,1005375.0,0.1879553645849228,0.523073136806488,0.0,0.024000000208616257,0.04100000113248825,0.06599999964237213,5.703000068664551,1005375.0,390600.25,344.7234191894531,389745.0,390343.0,390621.0,390845.0,391597.0,1005375.0,0.13515863805872746,0.2010056840692431,0.0,0.0,0.05,0.175,1.0,1005375.0,0.07855737791759794,0.2903263745523114,0.0,0.0,0.0,0.0,4.1588830833596715,1005375.0,13.515863805872744,20.10056840692431,0.0,0.0,5.0,17.5,100.0,1005375.0,7479287.062182034,2.1420429869113955e-08,7479287.062182013,7479287.062182013,7479287.062182013,7479287.062182013,7479287.062182013,1005375.0,320746.42939396197,1.1641537972344542e-10,320746.42939396185,320746.42939396185,320746.42939396185,320746.42939396185,320746.42939396185,1005375.0,499.7035827636719,0.0,499.7035827636719,499.7035827636719,499.7035827636719,499.7035827636719,499.7035827636719,1005375.0,28.49253083333328,6.750159346757394e-14,28.492530833333348,28.492530833333348,28.492530833333348,28.492530833333348,28.492530833333348,1005375.0,60.53161458333326,4.9738016239265004e-14,60.53161458333331,60.53161458333331,60.53161458333331,60.53161458333331,60.53161458333331,1005375.0,1556890.5251214905,2.7939691133626898e-09,1556890.5251214933,1556890.5251214933,1556890.5251214933,1556890.5251214933,1556890.5251214933,1005375.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1005375.0,4129.957324373115,87.87640463104276,3838.7164122151653,4077.5372660510066,4129.10511147954,4190.161869067513,4383.72620357523,1005375.0,0.9907844210541875,1.221245934446239e-15,0.9907844210541887,0.9907844210541887,0.9907844210541887,0.9907844210541887,0.9907844210541887,1005375.0,0.9298060425214475,0.025462384738143506,0.91,0.91,0.91,0.96,0.97,1005375.0,44.054711088562506,2.9250127220498423,35.780140828210904,41.598170947204494,44.76778701089722,46.35760345132536,50.12394337739374
cam1-000-000127-0.tif,Upland,Inside,642115.0,36.2718620300293,1.6355279684066772,32.25,35.089996337890625,36.3699951171875,37.410003662109375,42.489990234375,642115.0,1.4835749864578247,2.7635035514831543,0.0,0.0860000029206276,0.16300000250339508,1.0700000524520874,12.621000289916992,642115.0,390489.6875,450.661376953125,389431.0,390154.0,390571.0,390855.0,391604.0,642115.0,0.4726724245235605,0.25104431058742943,0.0,0.2708333333333333,0.48333333333333334,0.6744186046511628,1.0,642115.0,0.29770306353375475,0.5147155097990197,0.0,0.0,0.0,0.4373784019296589,4.1588830833596715,642115.0,47.26724245235604,25.104431058742946,0.0,27.083333333333332,48.333333333333336,67.44186046511628,100.0,642115.0,7479305.105087863,1.1175879597786362e-08,7479305.105087852,7479305.105087852,7479305.105087852,7479305.105087852,7479305.105087852,642115.0,320900.26774209493,4.656616499077652e-10,320900.2677420954,320900.2677420954,320900.2677420954,320900.2677420954,320900.2677420954,642115.0,500.8915100097656,0.0,500.8915100097656,500.8915100097656,500.8915100097656,500.8915100097656,500.8915100097656,642115.0,28.511237766666707,1.7763582226095778e-14,28.51123776666669,28.51123776666669,28.51123776666669,28.51123776666669,28.51123776666669,642115.0,60.49129791666657,4.263259734262986e-14,60.49129791666661,60.49129791666661,60.49129791666661,60.49129791666661,60.49129791666661,642115.0,1557464.0722523483,9.313232998155303e-10,1557464.0722523492,1557464.0722523492,1557464.0722523492,1557464.0722523492,1557464.0722523492,642115.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,642115.0,4008.3257405751315,90.30054103021338,3789.4945502564583,3942.753405001696,4013.100843506271,4070.8415630487843,4360.396627498772,642115.0,0.9907852756215614,7.771567223916902e-16,0.9907852756215606,0.9907852756215606,0.9907852756215606,0.9907852756215606,0.9907852756215606,642115.0,0.9576912235347254,0.01724088781829985,0.91,0.96,0.96,0.97,0.97,642115.0,39.79773114321387,2.352179518057792,34.96664940664931,38.13877379789494,39.72501250288269,41.02594008013642,49.57951004056429
cam1-000-000127-0.tif,Upland,Outside,1042520.0,38.16636657714844,1.5747312307357788,32.92999267578125,37.1300048828125,38.1300048828125,39.329986572265625,42.769989013671875,1042520.0,0.14448104798793793,0.47168847918510437,0.0,0.024000000208616257,0.03999999910593033,0.06700000166893005,7.738999843597412,1042520.0,389638.15625,529.566162109375,388139.0,389254.0,389740.0,390074.0,390823.0,1042520.0,0.15010693756205415,0.21665229242143796,0.0,0.0,0.05357142857142857,0.2073170731707317,1.0,1042520.0,0.046533174228908104,0.233168129076723,0.0,0.0,0.0,0.0,4.332905837338931,1042520.0,15.010693756205407,21.6652292421438,0.0,0.0,5.357142857142857,20.73170731707317,100.0,1042520.0,7479305.105087868,1.5832491361840316e-08,7479305.105087852,7479305.105087852,7479305.105087852,7479305.105087852,7479305.105087852,1042520.0,320900.26774209505,3.492461329817717e-10,320900.2677420954,320900.2677420954,320900.2677420954,320900.2677420954,320900.2677420954,1042520.0,500.8915100097656,0.0,500.8915100097656,500.8915100097656,500.8915100097656,500.8915100097656,500.8915100097656,1042520.0,28.511237766666785,9.592331533312821e-14,28.51123776666669,28.51123776666669,28.51123776666669,28.51123776666669,28.51123776666669,1042520.0,60.49129791666656,4.973801535791833e-14,60.49129791666661,60.49129791666661,60.49129791666661,60.49129791666661,60.49129791666661,1042520.0,1557464.072252353,3.725292085138898e-09,1557464.0722523492,1557464.0722523492,1557464.0722523492,1557464.0722523492,1557464.0722523492,1042520.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1042520.0,4113.762491259027,88.27804110271961,3825.835643272638,4055.244756589744,4111.121905122773,4178.811670258596,4376.719378682017,1042520.0,0.9907852756215616,9.992012013867521e-16,0.9907852756215606,0.9907852756215606,0.9907852756215606,0.9907852756215606,0.9907852756215606,1042520.0,0.9291973295476348,0.02490608815642815,0.91,0.91,0.91,0.96,0.97,1042520.0,43.79842270256811,2.8875315310320686,35.53596871864437,41.31196397787795,44.43281997575855,46.106215534080036,49.998057488614336
