,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001236-0.tif,228.9874222237696,0.0,0.3408945943970653,0.45484692,1.3454956,0.89064866,902429,902429,0.13243544,1.3988479,1.2664125,-0.3822465,1.0396526,1.4218991
1,Letaba,cam1-001-001262-0.tif,,,,,,,0,0,,,,,,
2,Letaba,cam1-001-001380-0.tif,246.79573673004822,0.0,0.6023530245147015,0.83686715,1.5075068,0.6706397,335740,335740,0.5658817,1.643155,1.0772732,-0.51635504,1.0899818,1.6063368
3,Letaba,cam1-001-001405-0.tif,144.68553710746556,0.0,0.239294347142716,0.33798027,1.4149026,1.0769223,731165,731165,-0.01132381,1.4067307,1.4180545,-0.32254142,0.99422437,1.3167658
4,Letaba,cam1-001-001806-0.tif,262.3957893714791,0.0,0.36308741660942195,0.48639107,1.2082925,0.7219014,1044531,1044531,0.3864838,1.5188284,1.1323446,-0.31155455,1.2570039,1.5685585
5,Letaba,cam1-001-001821-0.tif,151.77255420603092,0.0,0.4110647841740821,0.49289298,1.0872246,0.5943316,272644,272644,0.3335935,1.3542029,1.0206094,-0.47167945,1.2455595,1.7172389
6,Letaba,cam1-001-002009-0.tif,160.02510844267618,0.0,0.40120911936301734,0.505714,1.0880687,0.5823547,318174,318174,0.44765627,1.4642707,1.0166144,-0.3999442,1.345752,1.7456962
7,Nkuhlu,Flight2_cam1-001-000217-0.tif,355.28504199694225,0.0,1.0141733119683571,1.8427513,2.7920609,0.9493095,245448,245448,1.0084183,2.2498484,1.24143,-0.50191694,0.80580205,1.307719
8,Nkuhlu,Flight2_cam1-001-000301-0.tif,254.72012380161772,0.0,0.6184786942054232,0.98619163,2.0507162,1.0645245,339240,339240,0.38034987,1.7733378,1.392988,-0.44381344,0.8647407,1.3085542
9,Nkuhlu,Flight2_cam1-002-000147-0.tif,51.16122384038374,0.0,0.9506959567053487,1.0954318,1.8882039,0.792772,5792,5792,0.046209574,1.1751151,1.1289055,-0.8016523,0.62234545,1.4239978
10,Hlangwine,Flight3_cam1-001-000162-0.tif,17.77412175106943,1.1535072107678572e-70,0.0369540722489239,0.07345116,1.5940598,1.5206087,462681,462681,-0.40236378,1.7762442,2.178608,-0.3184315,1.1142895,1.432721
11,Hlangwine,Flight3_cam1-001-000175-0.tif,208.77841155696808,0.0,0.44057651055063257,0.9168788,1.9430616,1.0261828,449116,449116,0.3599409,2.2532628,1.8933219,-0.6853688,1.1596456,1.8450143
12,Hlangwine,Flight3_cam1-001-000200-0.tif,65.50144938313193,0.0,0.1614617401704323,0.4224987,2.5371385,2.1146398,329149,329149,0.7168591,2.950476,2.2336168,0.106651306,1.1629149,1.0562636
13,Hlangwine,Flight3_cam1-001-000217-0.tif,133.9629400445728,0.0,0.39240295194842,1.0169094,3.389411,2.3725016,233096,233096,1.0100574,3.0468352,2.0367777,0.040433884,0.8989276,0.85849375
14,Hlangwine,Flight3_cam1-001-000349-0.tif,77.87557679578339,0.0,0.30650887146079875,0.7024628,2.0449781,1.3425153,129106,129106,0.602527,2.5731952,1.9706682,-0.20959294,1.2582996,1.4678925
15,Hlangwine,Flight4_cam1-001-000165-0.tif,31.547847967995324,2.557237808112439e-218,0.06786037489221865,0.15355754,1.7634746,1.609917,432252,432252,-0.06327295,2.2309878,2.2942607,-0.15997088,1.2651092,1.4250801
16,Hlangwine,Flight4_cam1-001-000378-0.tif,21.796095485040144,2.7014763803874175e-105,0.04735758815249319,0.09290016,1.5190207,1.4261205,423651,423651,0.036111236,1.9796467,1.9435354,-0.059574127,1.3032387,1.3628129
17,Hlangwine,Flight4_cam1-002-000219-0.tif,25.63579586700604,6.725297942242968e-145,0.04908235790480404,0.057083726,0.90002346,0.84293973,545598,545598,-0.04311192,1.1412635,1.1843754,-0.13701606,1.2680374,1.4050535
18,Hlangwine,Flight4_cam1-004-000052-0.tif,152.98030133557972,0.0,0.4729934321386211,0.91779125,2.007591,1.0897998,209214,209214,0.48343587,2.1669924,1.6835566,-0.4654317,1.0793993,1.544831
19,RoanCamp,cam1-000-000098-0.tif,257.78219651703364,0.0,0.720699158337343,1.1698276,1.3995194,0.22969186,255875,255875,1.5977824,2.2118669,0.6140845,-1.0930669,1.5804474,2.6735144
20,RoanCamp,cam1-000-000108-0.tif,313.7319300450535,0.0,0.6516265441343931,0.96110475,1.187167,0.22606231,463607,463607,1.3598933,1.9887998,0.6289064,-1.1067563,1.6752485,2.7820048
21,RoanCamp,cam1-000-000117-0.tif,297.6742092566645,0.0,0.6563431250584292,1.0872612,1.2743021,0.18704088,411387,411387,1.7618794,2.2838235,0.5219441,-0.99831986,1.7922151,2.790535
22,RoanCamp,cam1-000-000127-0.tif,311.78335697251146,0.0,0.6773139570641374,1.3455751,1.4898534,0.14427827,423795,423795,2.2983973,2.7697103,0.47131306,-1.4076456,1.859049,3.2666945
23,RoanCamp,cam1-000-000138-0.tif,338.1194950567184,0.0,0.7473846389287273,1.6696308,1.8010042,0.13137338,409338,409338,2.7234623,3.1326873,0.40922493,-1.3755647,1.7394115,3.1149762
24,RoanCamp,cam1-000-000154-0.tif,331.2826506050764,0.0,0.8160636259071317,2.0388522,2.115754,0.076901704,329594,329594,3.238997,3.5219233,0.28292632,-2.0144458,1.6646186,3.6790643
25,RoanCamp,cam1-000-000169-0.tif,310.7154335756067,0.0,0.7377220020351394,1.4688047,1.5795188,0.11071403,354789,354789,2.3953338,2.7881625,0.3928286,-1.78294,1.7651974,3.5481374
26,RoanCamp,cam1-000-000179-0.tif,399.8831284985469,0.0,0.9381876899897412,1.4502642,1.651024,0.20075981,363343,363343,1.4510798,2.0905068,0.63942695,-1.9188465,1.266188,3.1850345
27,RoanCamp,cam1-000-000191-0.tif,245.11883207623708,0.0,0.6750779582342441,1.1783615,1.3583877,0.18002617,263679,263679,1.8904953,2.4126754,0.5221801,-1.1244471,1.7761316,2.9005787
28,RoanCamp,cam1-000-000236-0.tif,56.46496877772318,0.0,0.6080825468945112,1.0487772,1.2515936,0.20281641,17245,17245,1.6883225,2.3481824,0.65985996,-1.37733,1.8761541,3.253484
29,RoanCamp,cam1-000-000247-0.tif,163.85651858294588,0.0,0.7145468411871106,1.062674,1.2186588,0.15598477,105171,105171,1.5395834,2.0422635,0.5026801,-1.5467943,1.6758288,3.222623
30,RoanCamp,cam1-000-000259-0.tif,204.0499780270403,0.0,0.8821767428238224,1.3769639,1.5001441,0.12318026,107002,107002,1.742215,2.1662867,0.42407164,-1.9986392,1.4440523,3.4426916
31,RoanCamp,cam1-000-000269-0.tif,173.07333047568457,0.0,0.7432730489124785,1.4764829,1.6049614,0.1284785,108441,108441,2.320811,2.7726977,0.45188665,-1.7896372,1.727579,3.5172162
32,RoanCamp,cam1-000-000287-0.tif,181.7495871899616,0.0,0.8209645909481872,1.8722558,1.9554663,0.08321053,98023,98023,2.8518028,3.2057164,0.3539135,-2.613868,1.6393616,4.2532296
33,RoanCamp,cam1-000-000352-0.tif,155.53466013273825,0.0,0.744653931422192,0.8129098,0.9735239,0.16061413,87252,87252,1.0840133,1.4896104,0.40559706,-0.9951668,1.530122,2.5252888
34,RoanCamp,cam1-001-000333-0.tif,135.27656456538318,0.0,0.6068319294833995,0.82719135,1.1190611,0.29186976,99389,99389,1.1779653,1.8183017,0.6403364,-0.5690656,1.6248457,2.1939113
35,RoanCamp,cam1-001-000605-0.tif,123.2346242582046,0.0,0.5491513281512721,0.9105518,1.576504,0.6659522,100719,100719,1.0397503,2.094375,1.0546246,-0.25514078,1.3284932,1.583634
36,RoanCamp,cam1-002-000442-0.tif,103.60564439101093,0.0,0.6060830811712004,0.7895484,1.237422,0.44787362,58443,58443,0.87776506,1.6654332,0.7876681,-0.41279435,1.3458894,1.7586838
37,RoanCamp,cam1-003-000167-0.tif,144.15308701091863,0.0,0.6106674428907802,0.85464084,1.3382264,0.48358557,111447,111447,0.8829254,1.7695308,0.8866054,-0.51110375,1.3222954,1.8333992
38,RoanCamp,cam1-003-000440-0.tif,189.21805553602337,0.0,0.7873737869702323,1.0828133,1.3714013,0.28858802,115503,115503,1.0248864,1.7886233,0.763737,-1.3422308,1.3042305,2.6464612
39,RoanCamp,cam1-003-000465-0.tif,166.03045371847833,0.0,0.48885055260103594,0.49557704,0.88822615,0.3926491,230703,230703,0.6414523,1.2824141,0.64096177,-0.18861115,1.4437923,1.6324035
40,RoanCamp,cam1-003-000473-0.tif,150.03103753266112,0.0,0.44906084954729614,0.4310102,0.8425744,0.41156423,223245,223245,0.6118047,1.2156532,0.60384846,-0.024419188,1.4427843,1.4672035
41,RoanCamp,cam1-003-000483-0.tif,159.68148158660497,0.0,0.5418506849441073,0.4664576,0.775161,0.30870342,173692,173692,0.6644684,1.1264007,0.46193233,-0.04324448,1.4531183,1.4963628
42,RoanCamp,cam1-003-000491-0.tif,133.94205088939532,0.0,0.49203349659074114,0.56497294,1.0517052,0.4867323,148209,148209,0.85036075,1.4918005,0.6414398,0.10060954,1.4184588,1.3178493
43,RoanCamp,cam1-003-000506-0.tif,153.23700195309854,0.0,0.617166542738174,0.8947586,1.4798098,0.5850512,123297,123297,1.1957481,1.9186398,0.72289175,0.060940623,1.2965449,1.2356043
44,RoanCamp,cam1-003-000514-0.tif,128.94836280696293,0.0,0.703554790379834,1.0029975,1.4514897,0.4484922,67184,67184,1.2405326,1.9038725,0.66333985,-0.1673764,1.3116679,1.4790443
45,RoanCamp,cam1-003-000619-0.tif,129.49985297329846,0.0,0.8577654189640913,1.4090792,1.5945469,0.1854677,45586,45586,1.7477574,2.2648878,0.5171304,-1.3678544,1.4203959,2.7882502
46,RoanCamp,cam1-003-000629-0.tif,190.5510148106213,0.0,0.702256422321019,1.044281,1.2439648,0.19968374,147252,147252,1.6530048,2.0626948,0.40969005,-0.39353287,1.6581618,2.0516946
47,RoanCamp,cam1-003-000640-0.tif,224.72623822699745,0.0,0.8146882399440406,1.3017149,1.5894123,0.28769743,152179,152179,1.6837436,2.1999,0.5161563,-0.40999782,1.3840964,1.7940942
48,RoanCamp,cam1-003-000649-0.tif,178.13498442857292,0.0,1.2074936738241082,2.380816,2.7390342,0.35821822,43527,43527,2.1644084,2.730366,0.56595755,-0.5830887,0.9968353,1.579924
