,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001236-0.tif,228.9874222237696,0.0,0.34089458,0.45484692,1.3454956,0.89064866,902429,902429,0.13243532,1.3988479,1.2664126,-0.3822466,1.0396526,1.4218992
1,Letaba,cam1-001-001262-0.tif,110.4590285180835,0.0,0.6586328,1.1932358,2.1204665,0.9272307,56253,56253,0.41209018,2.005976,1.5938858,-0.77296746,0.9460069,1.7189744
2,Letaba,cam1-001-001380-0.tif,509.2532887087725,0.0,0.83490974,1.2752975,1.9256945,0.65039694,744078,744078,0.8242667,1.8829504,1.0586838,-0.64994687,0.9778033,1.6277502
3,Letaba,cam1-001-001405-0.tif,144.68553710746556,0.0,0.23929434,0.33798027,1.4149026,1.0769223,731165,731165,-0.01132381,1.4067307,1.4180545,-0.32254142,0.99422437,1.3167658
4,Letaba,cam1-001-001659-0.tif,105.07358011943101,0.0,0.43680102,1.9122396,4.2085347,2.2962952,115731,115731,1.3308213,4.9923725,3.6615512,-0.40829766,1.1862496,1.5945473
5,Letaba,cam1-001-001806-0.tif,262.3957893714791,0.0,0.3630874,0.48639107,1.2082925,0.7219014,1044531,1044531,0.38648367,1.5188284,1.1323447,-0.3115548,1.2570039,1.5685587
6,Letaba,cam1-001-001821-0.tif,151.77255420603092,0.0,0.41106477,0.49289298,1.0872246,0.5943316,272644,272644,0.3335936,1.3542029,1.0206093,-0.4716792,1.2455595,1.7172387
7,Letaba,cam1-001-002009-0.tif,276.1783419700135,0.0,0.46665165,0.5722863,1.1133707,0.54108435,700525,700525,0.48068613,1.4429286,0.9622424,-0.4823593,1.2960001,1.7783594
8,Letaba,cam1-001-002044-0.tif,-101.61678393843442,0.0,-0.42955506,-1.7319216,1.8312198,3.5631413,111924,111924,-2.5798292,2.5300736,5.109903,-0.052467585,1.3816329,1.4341005
9,Nkuhlu,Flight2_cam1-000-000201-0.tif,362.5219298445775,0.0,0.8825228,2.1401007,2.7396882,0.59958744,337479,337479,2.0549898,3.2240343,1.1690445,-0.77295935,1.1767888,1.9497482
10,Nkuhlu,Flight2_cam1-001-000217-0.tif,355.28504199694225,0.0,1.0141733,1.8427513,2.7920609,0.9493095,245448,245448,1.0084183,2.2498484,1.24143,-0.50191694,0.80580205,1.307719
11,Nkuhlu,Flight2_cam1-001-000301-0.tif,254.72012380161772,0.0,0.6184787,0.98619163,2.0507162,1.0645245,339240,339240,0.38034987,1.7733378,1.392988,-0.44381344,0.8647407,1.3085542
12,Nkuhlu,Flight2_cam1-002-000147-0.tif,51.16122384038374,0.0,0.950696,1.0954318,1.8882039,0.792772,5792,5792,0.046209574,1.1751151,1.1289055,-0.8016523,0.62234545,1.4239978
13,Hlangwine,Flight2_cam1-000-000155-0.tif,186.1022802920751,0.0,0.38011023,0.7150466,1.4352411,0.7201945,479418,479418,0.39405942,2.067839,1.6737795,-0.8833053,1.4407606,2.324066
14,Hlangwine,Flight2_cam1-000-000194-0.tif,284.45807644092434,0.0,0.5896084,0.7489128,1.1463777,0.39746484,465521,465521,1.0197203,1.6732248,0.65350443,-0.1846062,1.4595755,1.6441817
15,Hlangwine,Flight2_cam1-000-000224-0.tif,107.16588471231245,0.0,0.3205078,0.6151986,1.548496,0.9332974,223597,223597,0.3048885,2.065831,1.7609425,-0.552708,1.3340887,1.8867967
16,Hlangwine,Flight2_cam1-000-000240-0.tif,-27.460167638205416,6.901139840087716e-166,-0.07466663,-0.16139758,1.0969963,1.2583939,270510,270510,-0.4152218,1.9439718,2.3591936,-0.10267973,1.7720859,1.8747656
17,Hlangwine,Flight2_cam1-000-000262-0.tif,205.99443139038686,0.0,0.4180705,0.56885797,1.1170365,0.5481785,485559,485559,0.8774526,1.7267306,0.849278,-0.0034586191,1.545814,1.5492727
18,Hlangwine,Flight2_cam1-000-000282-0.tif,381.2753415148743,0.0,0.8164822,1.1730032,1.7501731,0.57716995,436128,436128,1.0833763,1.8723087,0.78893244,-0.29711306,1.0697849,1.366898
19,Hlangwine,Flight3_cam1-001-000162-0.tif,17.77412175106943,1.1535072107678572e-70,0.03695407,0.07345116,1.5940598,1.5206087,462681,462681,-0.40236378,1.7762442,2.178608,-0.3184315,1.1142895,1.432721
20,Hlangwine,Flight3_cam1-001-000175-0.tif,208.77841155696808,0.0,0.4405765,0.9168788,1.9430616,1.0261828,449116,449116,0.35994112,2.253263,1.8933219,-0.68536866,1.1596457,1.8450143
