,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Hlangwine,Flight2_cam1-000-000155-0.tif,186.1022802920751,0.0,0.38011023,0.7150466,1.4352411,0.7201945,479418,479418,0.39405942,2.067839,1.6737795,-0.8833053,1.4407606,2.324066
1,Hlangwine,Flight2_cam1-000-000194-0.tif,284.45807644092434,0.0,0.5896084,0.7489128,1.1463777,0.39746484,465521,465521,1.0197203,1.6732248,0.65350443,-0.1846062,1.4595755,1.6441817
2,Hlangwine,Flight2_cam1-000-000224-0.tif,107.16588471231245,0.0,0.3205078,0.6151986,1.548496,0.9332974,223597,223597,0.3048885,2.065831,1.7609425,-0.552708,1.3340887,1.8867967
3,Hlangwine,Flight2_cam1-000-000240-0.tif,-27.460167638205416,6.901139840087716e-166,-0.07466663,-0.16139758,1.0969963,1.2583939,270510,270510,-0.4152218,1.9439718,2.3591936,-0.10267973,1.7720859,1.8747656
4,Hlangwine,Flight2_cam1-000-000262-0.tif,205.99443139038686,0.0,0.4180705,0.56885797,1.1170365,0.5481785,485559,485559,0.8774526,1.7267306,0.849278,-0.0034586191,1.545814,1.5492727
5,Hlangwine,Flight2_cam1-000-000282-0.tif,381.2753415148743,0.0,0.8164822,1.1730032,1.7501731,0.57716995,436128,436128,1.0833763,1.8723087,0.78893244,-0.29711306,1.0697849,1.366898
6,Hlangwine,Flight3_cam1-001-000162-0.tif,17.77412175106943,1.1535072107678572e-70,0.03695407,0.07345116,1.5940598,1.5206087,462681,462681,-0.40236378,1.7762442,2.178608,-0.3184315,1.1142895,1.432721
7,Hlangwine,Flight3_cam1-001-000175-0.tif,208.77841155696808,0.0,0.4405765,0.9168788,1.9430616,1.0261828,449116,449116,0.35994112,2.253263,1.8933219,-0.68536866,1.1596457,1.8450143
8,Hlangwine,Flight3_cam1-001-000200-0.tif,65.50144938313193,0.0,0.16146174,0.4224987,2.5371385,2.1146398,329149,329149,0.7168591,2.950476,2.2336168,0.106651306,1.1629149,1.0562636
9,Hlangwine,Flight3_cam1-001-000217-0.tif,133.9629400445728,0.0,0.39240295,1.0169094,3.389411,2.3725016,233096,233096,1.0100574,3.0468352,2.0367777,0.040433884,0.8989276,0.85849375
10,Hlangwine,Flight3_cam1-001-000349-0.tif,77.87557679578339,0.0,0.30650887,0.7024628,2.0449781,1.3425153,129106,129106,0.602527,2.5731952,1.9706682,-0.20959294,1.2582996,1.4678925
11,Hlangwine,Flight4_cam1-000-000119-0.tif,195.05287086534983,0.0,0.74870133,1.1646309,1.6664141,0.5017833,135743,135743,1.3721333,2.0821328,0.70999956,-0.16548347,1.249469,1.4149525
12,Hlangwine,Flight4_cam1-001-000165-0.tif,31.547847967995324,2.557237808112439e-218,0.06786037,0.15355754,1.7634746,1.609917,432252,432252,-0.06327295,2.2309878,2.2942607,-0.15997088,1.2651092,1.4250801
13,Hlangwine,Flight4_cam1-001-000378-0.tif,21.796095485040144,2.7014763803874175e-105,0.047357585,0.09290016,1.5190207,1.4261205,423651,423651,0.036111236,1.9796467,1.9435354,-0.059574127,1.3032387,1.3628129
14,Hlangwine,Flight4_cam1-002-000219-0.tif,25.658195329228512,3.784348683904698e-145,0.049125247,0.057133555,0.90006435,0.8429308,545598,545598,-0.043131948,1.1412523,1.1843842,-0.13711143,1.2679675,1.4050789
15,Hlangwine,Flight4_cam1-004-000052-0.tif,152.98030133557972,0.0,0.47299343,0.91779125,2.007591,1.0897998,209214,209214,0.48343587,2.1669924,1.6835566,-0.4654317,1.0793993,1.544831
