,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,RoanCamp,cam1-000-000227-0.tif,478.6096500351081,0.0,1.087891114827144,2.1719964,2.6447809,0.47278446,387099,387099,1.8669589,2.698333,0.83137417,-0.7382151,1.0202483,1.7584634
1,RoanCamp,cam1-000-000236-0.tif,210.46559504015903,0.0,0.9741950659196974,1.9490886,2.5055954,0.55650693,93347,93347,1.460666,2.5929875,1.1323216,-0.9998157,1.0348787,2.0346944
2,RoanCamp,cam1-000-000463-0.tif,394.53748810187403,0.0,0.8401854854701338,1.517448,1.7874295,0.26998156,441018,441018,2.3784306,2.5485227,0.17009215,0.79578924,1.4258032,0.63001394
3,RoanCamp,cam1-001-000198-0.tif,419.18518196469455,0.0,0.8872107358211667,1.8893099,2.1653483,0.27603847,446466,446466,2.5669541,2.9827213,0.41576716,-0.12871397,1.3774788,1.5061928
4,RoanCamp,cam1-001-000468-0.tif,125.76044885996392,0.0,0.2542842209826304,0.19408482,0.50870305,0.31461823,489192,489192,0.4760267,0.963213,0.4871863,0.3449682,1.8934681,1.5485
5,RoanCamp,cam1-002-000302-0.tif,121.92506716316274,0.0,0.2514207490112166,0.268256,0.7794995,0.51124346,470342,470342,0.75553787,1.3756143,0.6200764,0.5518615,1.7647405,1.212879
6,RoanCamp,cam1-002-000323-0.tif,304.1764243672368,0.0,0.6660365754647695,1.1048206,1.4006242,0.29580352,417143,417143,1.6090863,2.2551718,0.64608556,-0.57405233,1.6101191,2.1841714
7,RoanCamp,cam1-003-000047-0.tif,257.30235370114184,0.0,0.5743871347197524,0.64759004,0.8437707,0.19618064,401336,401336,1.029105,1.5177317,0.48862678,-0.69194937,1.798749,2.4906983
8,RoanCamp,cam1-003-000303-0.tif,336.13280539182296,0.0,0.9263179130712614,1.4426963,1.5799024,0.13720608,263349,263349,1.7547233,2.1641777,0.40945438,-1.6144118,1.3698173,2.984229
9,RoanCamp,cam1-003-000558-0.tif,341.0836795317452,0.0,1.0078779129453364,1.6841446,1.864411,0.1802664,229053,229053,1.9278554,2.3288527,0.40099728,-0.9753616,1.249109,2.2244706
10,RoanCamp,cam1-003-000566-0.tif,447.9446028866124,0.0,0.9610023618876159,2.0063152,2.239018,0.23270279,434540,434540,2.447116,2.9151638,0.46804783,-0.70937145,1.3019832,2.0113547
11,RoanCamp,cam1-003-000576-0.tif,482.5156312917677,0.0,1.0553466358286587,2.0493622,2.2008483,0.15148613,418083,418083,2.1855474,2.698004,0.5124567,-2.1569695,1.2258928,3.3828623
12,RoanCamp,cam1-003-000619-0.tif,71.04781386077238,0.0,0.9897869857786807,0.89102805,0.9690658,0.078037746,10305,10305,1.0965524,1.262274,0.16572168,-0.82104135,1.302568,2.1236093
