,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001236-0.tif,-522.0253335707738,0.0,-0.7771414186916402,-2.871399829803707,40.87708828743547,43.74848811723918,902429,902429,-0.9011727034591388,3.216658859104646,4.117831562563785,-0.015434119330899748,0.07869099766808393,0.09412511699898368
1,Letaba,cam1-001-001262-0.tif,-128.29845142102783,0.0,-0.7650037569328032,-2.6481337997795436,39.543530941898894,42.19166474167844,56253,56253,-1.082168632341212,2.8779613571030493,3.9601299894442614,-0.02108090748629994,0.07277957452336827,0.0938604820096682
2,Letaba,cam1-001-001380-0.tif,-600.8840315301295,0.0,-0.9851365416001595,-3.6896833151984794,40.53014148050184,44.21982479570032,744078,744078,-0.2019293623961893,3.6430264043953575,3.844955766791547,0.0029334244107388358,0.08988437422918787,0.08695094981844903
3,Letaba,cam1-001-001405-0.tif,-150.51136298568136,0.0,-0.24892962759982545,-0.8810936889779484,40.31420460679554,41.19529829577349,731165,731165,-0.2764988742966734,3.398578823575648,3.675077697872321,-0.004908829104666557,0.08430226657635131,0.08921109568101787
4,Letaba,cam1-001-001659-0.tif,-169.22446599651417,0.0,-0.7034824983416124,-2.837796866512093,38.32021475460113,41.158011621113225,115731,115731,-0.13457657402848655,3.9660772172815073,4.100653791309994,0.003866333214283507,0.10349830351108087,0.09963197029679736
5,Letaba,cam1-001-001806-0.tif,-445.6373965712183,0.0,-0.6166460577808838,-2.1028619731703486,39.96102854393742,42.063890517107765,1044531,1044531,-0.6428437127601625,3.073557084872221,3.7164007976323834,-0.011437469730015096,0.07691386325286459,0.08835133298287969
6,Letaba,cam1-001-001821-0.tif,-206.11400275417031,0.0,-0.5582445898832904,-1.9104224579112525,40.56270007964548,42.47312253755673,272644,272644,-0.3959832545570121,3.2184722547299893,3.6144555092870014,-0.005754218225675123,0.07934561181603961,0.08509983004171473
7,Letaba,cam1-001-002009-0.tif,-452.3002680096138,0.0,-0.7642404553910908,-2.4435480746933465,39.16940252480212,41.61295059949547,700525,700525,-0.41089776545408707,2.9852986836702926,3.3961964491243797,-0.005398862112012126,0.07621506817164232,0.08161393028365445
8,Letaba,cam1-001-002044-0.tif,54.890526658427824,0.0,0.23203354977675147,0.8511225873328314,38.825098367097944,37.97397577976511,111924,111924,-0.5965571783797654,3.357675146576014,3.9542323249557794,-0.017647981644111757,0.08648207700154734,0.1041300586456591
9,Nkuhlu,Flight2_cam1-000-000201-0.tif,-438.2966795683225,0.0,-1.0669886547375729,-2.763465654805678,38.918022308411786,41.681487963217464,337479,337479,-1.3950479782784169,1.796747559369324,3.191795537647741,-0.030408360073535708,0.046167493947424275,0.07657585402095998
10,Nkuhlu,Flight2_cam1-001-000217-0.tif,-172.55655942208844,0.0,-0.49256859845864737,-1.5860201490841703,41.50315787626635,43.08917802535052,245448,245448,-0.22346931899413525,3.1062230798454387,3.329692398839574,-0.0024313930404675776,0.0748430538492045,0.07727444688967208
11,Nkuhlu,Flight2_cam1-001-000301-0.tif,2.7500265547709044,0.00595920872625565,0.006677261089564146,0.020546970517614227,42.38224533602016,42.36169836550255,339240,339240,-0.6704494582552418,2.7236165868495648,3.3940660451048066,-0.015857954171391297,0.06426314994063789,0.08012110411202919
12,Nkuhlu,Flight2_cam1-002-000147-0.tif,-42.51208051626054,0.0,-0.7899745148131168,-2.204388700696491,40.783847726083614,42.988236426780105,5792,5792,-2.115326802347944,1.524581711563221,3.6399085139111653,-0.04729020116813906,0.03738199793709418,0.08467219910523324
13,Hlangwine,Flight2_cam1-000-000155-0.tif,-195.92229631058646,0.0,-0.40016738772475463,-0.4901292906100885,31.81778506781522,32.30791435842531,479418,479418,-0.21597173882782594,1.1120552183829646,1.3280269572107906,-0.00615457110318058,0.03495074267466363,0.04110531377784421
14,Hlangwine,Flight2_cam1-000-000194-0.tif,-283.3040795900636,0.0,-0.5872164155288037,-0.7391402955304684,31.89279721520949,32.63193751073996,465521,465521,-0.03333467834189019,1.2419410266488795,1.2752757049907697,-0.0001394870415168739,0.03894111320083912,0.039080600242355996
15,Hlangwine,Flight2_cam1-000-000224-0.tif,-90.9336608322489,0.0,-0.27196103610092015,-0.30999227572230836,31.40161272497085,31.711605000693158,223597,223597,-0.01011228132398112,1.1347734112308743,1.1448856925548554,3.4373572616423764e-05,0.03613742457018751,0.036103050997571086
16,Hlangwine,Flight2_cam1-000-000240-0.tif,-18.691438863823567,6.17467239963525e-78,-0.05082367559039723,-0.06273607215233312,31.742811852334867,31.8055479244872,270510,270510,-0.3206759170996887,1.063591127586922,1.3842670446866108,-0.010016298114535964,0.03350651897300928,0.04352281708754525
17,Hlangwine,Flight2_cam1-000-000262-0.tif,-248.09420057691673,0.0,-0.5035129050804077,-0.5747710269103834,31.198753430985878,31.77352445789626,485559,485559,-0.2534406597388046,1.0077461930170437,1.2611868527558483,-0.00739216288274757,0.03230084802093963,0.0396930109036872
18,Hlangwine,Flight2_cam1-000-000282-0.tif,-326.4312022800661,0.0,-0.6990362176356357,-0.6968479489275055,30.419187261794868,31.116035210722373,436128,436128,0.07800934885533062,1.035110902913012,0.9571015540576815,0.0032691133661443897,0.03402822350263989,0.0307591101364955
19,Hlangwine,Flight3_cam1-001-000162-0.tif,-169.73091550957272,0.0,-0.35288656051571926,-0.542801174598118,32.65618224671735,33.19898342131547,462681,462681,-0.1609480503579479,1.4555941040132325,1.6165421543711804,-0.004119210642952266,0.04457330906032505,0.048692519703277315
20,Hlangwine,Flight3_cam1-001-000175-0.tif,-104.06127573465487,0.0,-0.2195962300263193,-0.34799745107850555,33.18197703285549,33.529974483934,449116,449116,0.4010648752328225,1.7725084353348568,1.3714435601020343,0.012515790490998928,0.053417806708135215,0.04090201621713629
21,Hlangwine,Flight3_cam1-001-000200-0.tif,-4.1144481671474535,3.881538868147106e-05,-0.010142156866365538,-0.015902906810509876,31.73135798063568,31.74726088744619,329149,329149,0.010966709353483095,1.573474244517342,1.5625075351638589,0.00037027737752583223,0.049587359150451975,0.04921708177292614
22,Hlangwine,Flight3_cam1-001-000217-0.tif,-63.09269724263392,0.0,-0.18481051678566646,-0.25006545498003163,30.35242797188256,30.60249342686259,233096,233096,-0.07259543945504476,1.3163063787223277,1.3889018181773725,-0.002017833838319723,0.04336741627199341,0.045385250110313136
23,Hlangwine,Flight3_cam1-001-000349-0.tif,-64.33120738389782,0.0,-0.2531998752127268,-0.4597852737388166,31.95029599938158,32.4100812731204,129106,129106,-0.32543870606602177,1.6458739612465039,1.9713126673125256,-0.00931048337878198,0.051513574749929104,0.060824058128711084
24,Hlangwine,Flight4_cam1-000-000119-0.tif,-218.17544680863375,0.0,-0.8374562928551315,-1.0355205586114131,30.09234499633535,31.127865554946762,135743,135743,-0.4677658718155723,0.9803033367464041,1.4480692085619764,-0.013943527014663101,0.032576501992974814,0.046520029007637916
25,Hlangwine,Flight4_cam1-001-000165-0.tif,-34.17817967835453,7.593616830238677e-256,-0.07351829401149951,-0.06528804780493047,29.938556486257756,30.003844534062686,432252,432252,-0.0749961870411946,0.8497615973203158,0.9247577843615103,-0.002437790343500886,0.02838351934938376,0.030821309692884647
26,Hlangwine,Flight4_cam1-001-000378-0.tif,25.91455568648444,5.221079011874647e-148,0.05630599624380533,0.04916182021123561,29.879539840770207,29.83037802055897,423651,423651,0.07153223627801597,0.9081519904094473,0.8366197541314313,0.002347875811750458,0.030393774310081136,0.02804589849833068
