,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,RoanCamp,cam1-000-000227-0.tif,-68.0926332714609,0.0,-0.1547761618757659,-0.32066727,34.656834,34.9775,387099,387099,0.8545172,2.4545374,1.6000202,0.025079783,0.07082405,0.045744266
1,RoanCamp,cam1-000-000236-0.tif,16.194487762324457,6.1339310417724455e-59,0.07496042454359424,0.14229584,35.072567,34.93027,93347,93347,0.7403457,2.23201,1.4916642,0.020935714,0.06363977,0.042704053
2,RoanCamp,cam1-000-000463-0.tif,-132.35627638276094,0.0,-0.2818586766288204,-0.2924881,31.461208,31.753696,441018,441018,0.5374716,1.2710466,0.73357505,0.017298402,0.040400438,0.023102036
3,RoanCamp,cam1-001-000198-0.tif,-115.70972221581331,0.0,-0.24490104363439372,-0.3038311,31.757643,32.061474,446466,446466,0.42727768,1.4357339,1.0084562,0.013755251,0.045209084,0.031453833
4,RoanCamp,cam1-001-000468-0.tif,281.29560206913453,0.0,0.5687720930622242,0.80760574,34.67014,33.862534,489192,489192,0.41330266,1.611444,1.1981413,0.011096802,0.046479307,0.035382506
5,RoanCamp,cam1-002-000302-0.tif,207.5031629432129,0.0,0.4278906606661383,0.45832062,32.601036,32.142715,470342,470342,-0.04024744,1.0508034,1.0910509,-0.0017117448,0.03223221,0.033943955
6,RoanCamp,cam1-002-000323-0.tif,-280.95783040013237,0.0,-0.6151962295305157,-0.9199257,32.070007,32.989933,417143,417143,0.14364266,1.5654325,1.4217899,0.005715288,0.048812978,0.04309769
7,RoanCamp,cam1-003-000047-0.tif,-216.40314724635,0.0,-0.4830860774554107,-0.7499924,35.56192,36.311913,401336,401336,0.23073876,1.6635793,1.4328406,0.007320553,0.046779796,0.039459243
8,RoanCamp,cam1-003-000303-0.tif,-167.88178568434833,0.0,-0.4626501833464541,-1.2286491,38.128193,39.356842,263349,263349,1.6362208,3.3446321,1.7084113,0.044312466,0.08772071,0.04340824
9,RoanCamp,cam1-003-000558-0.tif,-329.70147627756523,0.0,-0.9742443614888783,-2.4902458,34.644253,37.1345,229053,229053,1.1423839,3.0626335,1.9202496,0.036691688,0.08840235,0.051710665
10,RoanCamp,cam1-003-000566-0.tif,-860.8265003252714,0.0,-1.846782409046586,-3.2237892,33.15278,36.376568,434540,434540,-0.024253607,1.7334559,1.7577095,0.003967069,0.052286897,0.048319828
11,RoanCamp,cam1-003-000576-0.tif,-547.5723140022789,0.0,-1.1976372101666384,-2.502472,34.60688,37.109352,418083,418083,0.9766531,2.519971,1.5433178,0.031228673,0.07281705,0.041588377
12,RoanCamp,cam1-003-000619-0.tif,-56.791380647820816,0.0,-0.7911765917703121,-1.1957397,34.81586,36.0116,10305,10305,1.1335264,1.9678125,0.8342861,0.03335343,0.056520578,0.023167148
