,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-000-000098-0.tif,Inside,387690.0,35.46232223510742,1.1077567338943481,32.329986572265625,34.649993896484375,35.489990234375,36.170013427734375,41.089996337890625,387690.0,1.3956105709075928,2.2094674110412598,0.0,0.1589999943971634,0.2849999964237213,1.4299999475479126,9.347000122070312,387690.0,392226.1875,123.47933959960938,391914.0,392133.0,392219.0,392312.0,392743.0,387690.0,0.6655840808102087,0.22899207929405205,0.0,0.5348837209302325,0.7051282051282052,0.8404255319148937,1.0,387690.0,0.27991854945971806,0.4886095032736988,0.0,0.0,0.0,0.38961319709391207,3.4215808133887755,387690.0,66.55840808102084,22.899207929405208,0.0,53.48837209302325,70.51282051282051,84.04255319148936,100.0
cam1-000-000098-0.tif,Outside,970735.0,38.00629425048828,1.5980737209320068,33.04998779296875,37.04998779296875,38.010009765625,39.010009765625,42.970001220703125,970735.0,0.23018774390220642,0.6158836483955383,0.0,0.019999999552965164,0.04399999976158142,0.07999999821186066,6.427000045776367,970735.0,391842.34375,338.2808532714844,391139.0,391598.0,391786.0,392068.0,392722.0,970735.0,0.18793189810605565,0.23544542627845277,0.0,0.0,0.0967741935483871,0.2835820895522388,1.0,970735.0,0.10193561016782694,0.339649338360191,0.0,0.0,0.0,0.0,5.99146454710798,970735.0,18.793189810605558,23.54454262784527,0.0,0.0,9.67741935483871,28.35820895522388,100.0
cam1-000-000108-0.tif,Inside,702435.0,35.742919921875,1.2207984924316406,32.45001220703125,34.850006103515625,35.80999755859375,36.57000732421875,40.850006103515625,702435.0,1.1885958909988403,1.9919229745864868,0.0,0.12300000339746475,0.2529999911785126,1.50600004196167,11.772000312805176,702435.0,392078.6875,159.50204467773438,391540.0,391957.0,392090.0,392207.0,392966.0,702435.0,0.5831607354783154,0.24281528717536816,0.0,0.40625,0.6159420289855072,0.775,1.0,702435.0,0.31488663052237464,0.5214798475039476,0.0,0.0,0.0,0.5092605762272263,3.807431662888466,702435.0,58.31607354783154,24.281528717536816,0.0,40.625,61.59420289855072,77.5,100.0
cam1-000-000108-0.tif,Outside,974660.0,37.92654800415039,1.3460732698440552,32.970001220703125,37.170013427734375,38.010009765625,38.80999755859375,42.209991455078125,974660.0,0.22691817581653595,0.6302422881126404,0.0,0.03200000151991844,0.052000001072883606,0.08399999886751175,6.361000061035156,974660.0,391286.96875,268.55950927734375,390533.0,391111.0,391298.0,391493.0,392123.0,974660.0,0.19591781015748935,0.21493860813235893,0.0,0.030303030303030304,0.12,0.2948717948717949,1.0,974660.0,0.08221568423359736,0.296399626034194,0.0,0.0,0.0,0.0,4.523526196947582,974660.0,19.591781015748932,21.493860813235894,0.0,3.0303030303030303,12.0,29.48717948717949,100.0
cam1-000-000117-0.tif,Inside,623315.0,36.23810577392578,1.462691307067871,31.970001220703125,35.209991455078125,36.410003662109375,37.290008544921875,42.290008544921875,623315.0,1.2743513584136963,2.2847890853881836,0.0,0.09200000017881393,0.17000000178813934,1.215999960899353,11.625,623315.0,391438.46875,282.9600830078125,390745.0,391223.0,391433.0,391648.0,392584.0,623315.0,0.4904750083636194,0.23945584339950812,0.0,0.30158730158730157,0.49557522123893805,0.6790123456790123,1.0,623315.0,0.28554740468426665,0.5079022920063232,0.0,0.0,0.0,0.38728767402080483,5.610203137672608,623315.0,49.04750083636191,23.945584339950816,0.0,30.158730158730158,49.557522123893804,67.90123456790123,100.0
cam1-000-000117-0.tif,Outside,1005375.0,38.45463943481445,1.5646589994430542,33.170013427734375,37.529998779296875,38.45001220703125,39.529998779296875,42.889984130859375,1005375.0,0.1879553645849228,0.523073136806488,0.0,0.024000000208616257,0.04100000113248825,0.06599999964237213,5.703000068664551,1005375.0,390600.25,344.7234191894531,389745.0,390343.0,390621.0,390845.0,391597.0,1005375.0,0.13515863805872746,0.2010056840692431,0.0,0.0,0.05,0.175,1.0,1005375.0,0.07855737791759794,0.2903263745523114,0.0,0.0,0.0,0.0,4.1588830833596715,1005375.0,13.515863805872744,20.10056840692431,0.0,0.0,5.0,17.5,100.0
cam1-000-000127-0.tif,Inside,642115.0,36.2718620300293,1.6355279684066772,32.25,35.089996337890625,36.3699951171875,37.410003662109375,42.489990234375,642115.0,1.4835749864578247,2.7635035514831543,0.0,0.0860000029206276,0.16300000250339508,1.0700000524520874,12.621000289916992,642115.0,390489.6875,450.661376953125,389431.0,390154.0,390571.0,390855.0,391604.0,642115.0,0.4726724245235605,0.25104431058742943,0.0,0.2708333333333333,0.48333333333333334,0.6744186046511628,1.0,642115.0,0.29770306353375475,0.5147155097990197,0.0,0.0,0.0,0.4373784019296589,4.1588830833596715,642115.0,47.26724245235604,25.104431058742946,0.0,27.083333333333332,48.333333333333336,67.44186046511628,100.0
cam1-000-000127-0.tif,Outside,1042520.0,38.16636657714844,1.5747312307357788,32.92999267578125,37.1300048828125,38.1300048828125,39.329986572265625,42.769989013671875,1042520.0,0.14448104798793793,0.47168847918510437,0.0,0.024000000208616257,0.03999999910593033,0.06700000166893005,7.738999843597412,1042520.0,389638.15625,529.566162109375,388139.0,389254.0,389740.0,390074.0,390823.0,1042520.0,0.15010693756205415,0.21665229242143796,0.0,0.0,0.05357142857142857,0.2073170731707317,1.0,1042520.0,0.046533174228908104,0.233168129076723,0.0,0.0,0.0,0.0,4.332905837338931,1042520.0,15.010693756205407,21.6652292421438,0.0,0.0,5.357142857142857,20.73170731707317,100.0
cam1-000-000138-0.tif,Inside,620210.0,35.534603118896484,1.8236275911331177,31.649993896484375,34.209991455078125,35.529998779296875,36.80999755859375,42.57000732421875,620210.0,1.7939084768295288,3.127192497253418,0.0,0.07000000029802322,0.16200000047683716,1.2480000257492065,11.928999900817871,620210.0,388992.3125,316.6415100097656,388395.0,388722.0,388956.0,389267.0,389845.0,620210.0,0.45466434400104383,0.29224879985902874,0.0,0.18823529411764706,0.46875,0.7028985507246377,1.0,620210.0,0.28906903045785404,0.506360225585942,0.0,0.0,0.0,0.37700085154017376,4.066239838124319,620210.0,45.466434400104376,29.22487998590288,0.0,18.823529411764707,46.875,70.28985507246377,100.0
cam1-000-000138-0.tif,Outside,1070950.0,38.162437438964844,1.5855309963226318,32.089996337890625,37.209991455078125,38.410003662109375,39.329986572265625,42.25,1070950.0,0.13140207529067993,0.41021835803985596,0.0,0.02500000037252903,0.0430000014603138,0.07699999958276749,5.3460001945495605,1070950.0,388279.125,329.2542724609375,387561.0,388063.0,388241.0,388483.0,389222.0,1070950.0,0.17623761805651378,0.231773094794341,0.0,0.0,0.07272727272727272,0.26666666666666666,1.0,1070950.0,0.03468705834893835,0.18701996783905042,0.0,0.0,0.0,0.0,5.416100402204421,1070950.0,17.623761805651384,23.17730947943409,0.0,0.0,7.2727272727272725,26.666666666666668,100.0
cam1-000-000154-0.tif,Inside,499385.0,35.039371490478516,1.2718684673309326,31.889984130859375,34.089996337890625,35.1300048828125,35.970001220703125,40.57000732421875,499385.0,2.113720655441284,3.518949508666992,0.0,0.09600000083446503,0.16200000047683716,2.377000093460083,13.39799976348877,499385.0,390352.5625,129.51039123535156,389930.0,390263.0,390358.0,390441.0,391141.0,499385.0,0.5209296531943982,0.23242539205010881,0.0,0.35251798561151076,0.5538461538461539,0.7000000000000001,1.0,499385.0,0.29351973289114874,0.4772538091329796,0.0,0.0,0.0,0.5034321133942155,3.457402666521836,499385.0,52.09296531943983,23.24253920501088,0.0,35.25179856115108,55.38461538461539,70.0,100.0
cam1-000-000154-0.tif,Outside,1106035.0,38.112884521484375,1.34369957447052,32.69000244140625,37.209991455078125,38.25,39.170013427734375,41.529998779296875,1106035.0,0.07638734579086304,0.2804660201072693,0.0,0.020999999716877937,0.03400000184774399,0.05400000140070915,5.39900016784668,1106035.0,389657.4375,283.08367919921875,388856.0,389462.0,389733.0,389869.0,390532.0,1106035.0,0.09839942511960212,0.16422645445436432,0.0,0.0,0.023255813953488372,0.125,1.0,1106035.0,0.01964572902051078,0.15480534753006892,0.0,0.0,0.0,0.0,3.757541692435369,1106035.0,9.83994251196021,16.422645445436427,0.0,0.0,2.3255813953488373,12.5,100.0
cam1-000-000169-0.tif,Inside,537560.0,34.97079849243164,1.3964415788650513,31.850006103515625,33.889984130859375,35.010009765625,35.92999267578125,40.3699951171875,537560.0,1.5801036357879639,2.7888007164001465,0.0,0.09200000017881393,0.16200000047683716,1.7660000324249268,14.020000457763672,537560.0,390388.4375,129.08901977539062,390021.0,390305.0,390402.0,390484.0,390821.0,537560.0,0.48985009995051126,0.24156517135515929,0.0,0.3076923076923077,0.5230769230769231,0.6777777777777777,1.0,537560.0,0.23728234008383084,0.4263299179176454,0.0,0.0,0.0,0.3247888173280484,4.1039379853036175,537560.0,48.98500999505111,24.156517135515934,0.0,30.76923076923077,52.307692307692314,67.77777777777777,100.0
cam1-000-000169-0.tif,Outside,1139010.0,37.47100067138672,1.5117088556289673,32.04998779296875,36.45001220703125,37.6099853515625,38.6099853515625,41.769989013671875,1139010.0,0.11122467368841171,0.3949267566204071,0.0,0.020999999716877937,0.035999998450279236,0.057999998331069946,4.763999938964844,1139010.0,389802.1875,216.73428344726562,389173.0,389632.0,389794.0,389981.0,390460.0,1139010.0,0.11056703959851502,0.17563303548685505,0.0,0.0,0.034482758620689655,0.14285714285714285,1.0,1139010.0,0.034945539098518816,0.20405796484250954,0.0,0.0,0.0,0.0,4.969813299576,1139010.0,11.056703959851507,17.563303548685504,0.0,0.0,3.4482758620689653,14.285714285714285,100.0
cam1-000-000179-0.tif,Inside,550520.0,35.128684997558594,1.310786485671997,32.25,34.089996337890625,35.04998779296875,35.970001220703125,40.529998779296875,550520.0,1.6528831720352173,2.092184066772461,0.0,0.11599999666213989,0.25999999046325684,3.114000082015991,11.008999824523926,550520.0,389890.0625,211.78079223632812,389375.0,389731.0,389906.0,390050.0,390506.0,550520.0,0.5288029694776404,0.22929538913494404,0.0,0.375,0.5649950332153723,0.6965036411784178,1.0,550520.0,0.4054159842797322,0.5360268802185832,0.0,0.0,0.035063121827888705,0.8091048989407751,6.059267650459343,550520.0,52.880296947764045,22.929538913494408,0.0,37.5,56.499503321537226,69.65036411784178,100.0
cam1-000-000179-0.tif,Outside,1119505.0,37.53374099731445,1.631655216217041,32.04998779296875,36.3699951171875,37.529998779296875,38.850006103515625,41.769989013671875,1119505.0,0.20046915113925934,0.6390676498413086,0.0,0.020999999716877937,0.03700000047683716,0.06599999964237213,5.868000030517578,1119505.0,389294.5,241.93368530273438,388724.0,389155.0,389325.0,389467.0,390204.0,1119505.0,0.13889523572048043,0.20940950000990055,0.0,0.0,0.04,0.18796992481203006,1.0,1119505.0,0.06930548912372081,0.28524680284682685,0.0,0.0,0.0,0.0,7.902487437162851,1119505.0,13.889523572048045,20.940950000990053,0.0,0.0,4.0,18.796992481203006,100.0
