,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001262-0.tif,105.36817374846989,0.0,0.6282776231457681,1.1527622,2.1204665,0.96770424,56253,56253,0.36006474,2.005976,1.6459112,-0.7548343,0.9460069,1.7008412
1,Letaba,cam1-001-001380-0.tif,290.9235463592237,0.0,0.9559463789859104,1.4698592,2.054132,0.58427274,185234,185234,0.9398347,1.9339457,0.99411094,-0.75995964,0.9414905,1.7014501
2,Letaba,cam1-001-001659-0.tif,105.07357919677605,0.0,0.4368010547242436,1.9122396,4.2085347,2.2962952,115731,115731,1.330821,4.9923725,3.6615515,-0.40829778,1.1862496,1.5945474
3,Letaba,cam1-001-002009-0.tif,247.80834198739592,0.0,0.5667607695279685,0.66777,1.1756752,0.5079051,382351,382351,0.48015428,1.3935806,0.9134263,-0.6130742,1.1853449,1.7984191
4,Letaba,cam1-001-002044-0.tif,-101.61678557316925,0.0,-0.42955505543906575,-1.7319216,1.8312198,3.5631413,111924,111924,-2.5798292,2.5300736,5.109903,-0.052467585,1.3816329,1.4341005
5,Nkuhlu,Flight2_cam1-000-000201-0.tif,362.5219341456132,0.0,0.8825228035699271,2.1401007,2.7396882,0.59958744,337479,337479,2.0549898,3.2240343,1.1690445,-0.77295935,1.1767888,1.9497482
6,Hlangwine,Flight1_cam1-002-000068-0.tif,187.6622482015235,0.0,0.3839882560966763,0.6390137,1.255945,0.61693126,477692,477692,0.66293323,1.9622707,1.2993375,-0.5437442,1.5623859,2.1061301
7,Hlangwine,Flight1_cam1-002-000207-0.tif,155.78439818070547,0.0,0.30984434266401156,0.7308116,2.2352278,1.5044162,505581,505581,0.26612902,2.4879491,2.22182,-0.36380243,1.1130629,1.4768653
8,Hlangwine,Flight2_cam1-000-000155-0.tif,186.1022800387333,0.0,0.38011020798290596,0.7150466,1.4352411,0.7201945,479418,479418,0.39405942,2.067839,1.6737795,-0.8833053,1.4407606,2.324066
9,Hlangwine,Flight2_cam1-000-000194-0.tif,284.4580785189275,0.0,0.5896083777313671,0.7489128,1.1463777,0.39746484,465521,465521,1.0197203,1.6732248,0.65350443,-0.1846062,1.4595755,1.6441817
10,Hlangwine,Flight2_cam1-000-000224-0.tif,107.16588509737787,0.0,0.32050777258112567,0.6151986,1.548496,0.9332974,223597,223597,0.3048885,2.065831,1.7609425,-0.552708,1.3340887,1.8867967
11,Hlangwine,Flight2_cam1-000-000240-0.tif,-27.46016795104232,6.901080571216976e-166,-0.07466662581186144,-0.16139758,1.0969963,1.2583939,270510,270510,-0.4152218,1.9439718,2.3591936,-0.10267973,1.7720859,1.8747656
12,Hlangwine,Flight2_cam1-000-000262-0.tif,205.99442963799933,0.0,0.4180704939839807,0.56885797,1.1170365,0.5481785,485559,485559,0.8774526,1.7267306,0.849278,-0.0034586191,1.545814,1.5492727
13,Hlangwine,Flight2_cam1-000-000282-0.tif,381.2753492126351,0.0,0.8164822518956527,1.1730032,1.7501731,0.57716995,436128,436128,1.0833763,1.8723087,0.78893244,-0.29711306,1.0697849,1.366898
14,Hlangwine,Flight4_cam1-000-000119-0.tif,195.05286981406854,0.0,0.7487013215182899,1.1646309,1.6664141,0.5017833,135743,135743,1.3721333,2.0821328,0.70999956,-0.16548347,1.249469,1.4149525
15,RoanCamp,cam1-000-000227-0.tif,478.6096563358536,0.0,1.087891114827144,2.1719964,2.6447809,0.47278446,387099,387099,1.8669589,2.698333,0.83137417,-0.7382151,1.0202483,1.7584634
16,RoanCamp,cam1-000-000236-0.tif,210.46559571988436,0.0,0.9741950659196974,1.9490886,2.5055954,0.55650693,93347,93347,1.460666,2.5929875,1.1323216,-0.9998157,1.0348787,2.0346944
17,RoanCamp,cam1-000-000463-0.tif,394.5375008778345,0.0,0.8401854854701338,1.517448,1.7874295,0.26998156,441018,441018,2.3784306,2.5485227,0.17009215,0.79578924,1.4258032,0.63001394
18,RoanCamp,cam1-001-000198-0.tif,419.1851796391053,0.0,0.8872107358211667,1.8893099,2.1653483,0.27603847,446466,446466,2.5669541,2.9827213,0.41576716,-0.12871397,1.3774788,1.5061928
19,RoanCamp,cam1-001-000468-0.tif,125.76044872815912,0.0,0.2542842209826304,0.19408482,0.50870305,0.31461823,489192,489192,0.4760267,0.963213,0.4871863,0.3449682,1.8934681,1.5485
20,RoanCamp,cam1-002-000302-0.tif,121.92506590932271,0.0,0.2514207490112166,0.268256,0.7794995,0.51124346,470342,470342,0.75553787,1.3756143,0.6200764,0.5518615,1.7647405,1.212879
21,RoanCamp,cam1-002-000323-0.tif,304.1764315099207,0.0,0.6660365754647695,1.1048206,1.4006242,0.29580352,417143,417143,1.6090863,2.2551718,0.64608556,-0.57405233,1.6101191,2.1841714
22,RoanCamp,cam1-003-000047-0.tif,257.30235453179284,0.0,0.5743871347197524,0.64759004,0.8437707,0.19618064,401336,401336,1.029105,1.5177317,0.48862678,-0.69194937,1.798749,2.4906983
23,RoanCamp,cam1-003-000303-0.tif,336.132810685564,0.0,0.9263179130712614,1.4426963,1.5799024,0.13720608,263349,263349,1.7547233,2.1641777,0.40945438,-1.6144118,1.3698173,2.984229
24,RoanCamp,cam1-003-000558-0.tif,341.0836745833569,0.0,1.0078779129453364,1.6841446,1.864411,0.1802664,229053,229053,1.9278554,2.3288527,0.40099728,-0.9753616,1.249109,2.2244706
25,RoanCamp,cam1-003-000566-0.tif,447.9446152383265,0.0,0.9610023618876159,2.0063152,2.239018,0.23270279,434540,434540,2.447116,2.9151638,0.46804783,-0.70937145,1.3019832,2.0113547
26,RoanCamp,cam1-003-000576-0.tif,482.5156239428069,0.0,1.0553466358286587,2.0493622,2.2008483,0.15148613,418083,418083,2.1855474,2.698004,0.5124567,-2.1569695,1.2258928,3.3828623
27,RoanCamp,cam1-003-000619-0.tif,71.04781392509167,0.0,0.9897869857786807,0.89102805,0.9690658,0.078037746,10305,10305,1.0965524,1.262274,0.16572168,-0.82104135,1.302568,2.1236093
