,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001236-0.tif,228.98742259808978,0.0,0.3408945943970653,0.45484692,1.3454956,0.89064866,902429,902429,0.13243544,1.3988479,1.2664125,-0.3822465,1.0396526,1.4218991
1,Letaba,cam1-001-001262-0.tif,110.45902942448154,0.0,0.6586328070816783,1.1932358,2.1204665,0.9272307,56253,56253,0.41209018,2.005976,1.5938858,-0.77296746,0.9460069,1.7189744
2,Letaba,cam1-001-001380-0.tif,509.25328615369835,0.0,0.8349097890952848,1.2752975,1.9256945,0.65039694,744078,744078,0.8242667,1.8829504,1.0586838,-0.64994687,0.9778033,1.6277502
3,Letaba,cam1-001-001405-0.tif,144.68553661975957,0.0,0.239294347142716,0.33798027,1.4149026,1.0769223,731165,731165,-0.01132381,1.4067307,1.4180545,-0.32254142,0.99422437,1.3167658
4,Letaba,cam1-001-001659-0.tif,105.07357919677605,0.0,0.4368010547242436,1.9122396,4.2085347,2.2962952,115731,115731,1.330821,4.9923725,3.6615515,-0.40829778,1.1862496,1.5945474
5,Letaba,cam1-001-001806-0.tif,262.395792960238,0.0,0.36308741660942195,0.48639107,1.2082925,0.7219014,1044531,1044531,0.3864838,1.5188284,1.1323446,-0.31155455,1.2570039,1.5685585
6,Letaba,cam1-001-001821-0.tif,151.77255254676072,0.0,0.4110647841740821,0.49289298,1.0872246,0.5943316,272644,272644,0.3335935,1.3542029,1.0206094,-0.47167945,1.2455595,1.7172389
7,Letaba,cam1-001-002009-0.tif,276.1783366039304,0.0,0.4666516536331665,0.5722863,1.1133707,0.54108435,700525,700525,0.48068613,1.4429286,0.9622424,-0.4823593,1.2960001,1.7783594
8,Letaba,cam1-001-002044-0.tif,-101.61678557316925,0.0,-0.42955505543906575,-1.7319216,1.8312198,3.5631413,111924,111924,-2.5798292,2.5300736,5.109903,-0.052467585,1.3816329,1.4341005
9,Nkuhlu,Flight2_cam1-000-000201-0.tif,362.5219341456132,0.0,0.8825228035699271,2.1401007,2.7396882,0.59958744,337479,337479,2.0549898,3.2240343,1.1690445,-0.77295935,1.1767888,1.9497482
10,Nkuhlu,Flight2_cam1-001-000217-0.tif,355.285044138494,0.0,1.0141733119683571,1.8427513,2.7920609,0.9493095,245448,245448,1.0084183,2.2498484,1.24143,-0.50191694,0.80580205,1.307719
11,Nkuhlu,Flight2_cam1-001-000301-0.tif,254.7201230361993,0.0,0.6184786942054232,0.98619163,2.0507162,1.0645245,339240,339240,0.38034987,1.7733378,1.392988,-0.44381344,0.8647407,1.3085542
12,Nkuhlu,Flight2_cam1-002-000147-0.tif,51.16122352982639,0.0,0.9506959567053487,1.0954318,1.8882039,0.792772,5792,5792,0.046209574,1.1751151,1.1289055,-0.8016523,0.62234545,1.4239978
13,Hlangwine,Flight1_cam1-002-000068-0.tif,187.6622482015235,0.0,0.3839882560966763,0.6390137,1.255945,0.61693126,477692,477692,0.66293323,1.9622707,1.2993375,-0.5437442,1.5623859,2.1061301
14,Hlangwine,Flight1_cam1-002-000207-0.tif,155.78439818070547,0.0,0.30984434266401156,0.7308116,2.2352278,1.5044162,505581,505581,0.26612902,2.4879491,2.22182,-0.36380243,1.1130629,1.4768653
15,Hlangwine,Flight2_cam1-000-000155-0.tif,186.1022800387333,0.0,0.38011020798290596,0.7150466,1.4352411,0.7201945,479418,479418,0.39405942,2.067839,1.6737795,-0.8833053,1.4407606,2.324066
16,Hlangwine,Flight2_cam1-000-000194-0.tif,284.4580785189275,0.0,0.5896083777313671,0.7489128,1.1463777,0.39746484,465521,465521,1.0197203,1.6732248,0.65350443,-0.1846062,1.4595755,1.6441817
17,Hlangwine,Flight2_cam1-000-000224-0.tif,107.16588509737787,0.0,0.32050777258112567,0.6151986,1.548496,0.9332974,223597,223597,0.3048885,2.065831,1.7609425,-0.552708,1.3340887,1.8867967
18,Hlangwine,Flight2_cam1-000-000240-0.tif,-27.46016795104232,6.901080571216976e-166,-0.07466662581186144,-0.16139758,1.0969963,1.2583939,270510,270510,-0.4152218,1.9439718,2.3591936,-0.10267973,1.7720859,1.8747656
