,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,RoanCamp,cam1-000-000098-0.tif,257.7821863227798,0.0,0.720699158337343,1.1698276,1.3995194,0.22969186,255875,255875,1.5977824,2.2118669,0.6140845,-1.0930669,1.5804474,2.6735144
1,RoanCamp,cam1-000-000108-0.tif,313.7319363855439,0.0,0.6516265441343931,0.96110475,1.187167,0.22606231,463607,463607,1.3598933,1.9887998,0.6289064,-1.1067563,1.6752485,2.7820048
2,RoanCamp,cam1-000-000117-0.tif,297.6742041217394,0.0,0.6563431250584292,1.0872612,1.2743021,0.18704088,411387,411387,1.7618794,2.2838235,0.5219441,-0.99831986,1.7922151,2.790535
3,RoanCamp,cam1-000-000127-0.tif,311.7833566611924,0.0,0.6773139570641374,1.3455751,1.4898534,0.14427827,423795,423795,2.2983973,2.7697103,0.47131306,-1.4076456,1.859049,3.2666945
4,RoanCamp,cam1-000-000138-0.tif,338.1194974205332,0.0,0.7473846389287273,1.6696308,1.8010042,0.13137338,409338,409338,2.7234623,3.1326873,0.40922493,-1.3755647,1.7394115,3.1149762
5,RoanCamp,cam1-000-000154-0.tif,331.2826565115321,0.0,0.8160636259071317,2.0388522,2.115754,0.076901704,329594,329594,3.238997,3.5219233,0.28292632,-2.0144458,1.6646186,3.6790643
6,RoanCamp,cam1-000-000169-0.tif,310.7154331737877,0.0,0.7377220020351394,1.4688047,1.5795188,0.11071403,354789,354789,2.3953338,2.7881625,0.3928286,-1.78294,1.7651974,3.5481374
7,RoanCamp,cam1-000-000179-0.tif,399.8831326689255,0.0,0.9381876899897412,1.4502642,1.651024,0.20075981,363343,363343,1.4510798,2.0905068,0.63942695,-1.9188465,1.266188,3.1850345
8,RoanCamp,cam1-000-000191-0.tif,245.1188257523948,0.0,0.6750779582342441,1.1783615,1.3583877,0.18002617,263679,263679,1.8904953,2.4126754,0.5221801,-1.1244471,1.7761316,2.9005787
9,RoanCamp,cam1-000-000236-0.tif,56.46497004935524,0.0,0.6080825468945112,1.0487772,1.2515936,0.20281641,17245,17245,1.6883225,2.3481824,0.65985996,-1.37733,1.8761541,3.253484
10,RoanCamp,cam1-000-000247-0.tif,163.8565110267943,0.0,0.7145468411871106,1.062674,1.2186588,0.15598477,105171,105171,1.5395834,2.0422635,0.5026801,-1.5467943,1.6758288,3.222623
11,RoanCamp,cam1-000-000259-0.tif,204.04997771176858,0.0,0.8821767428238224,1.3769639,1.5001441,0.12318026,107002,107002,1.742215,2.1662867,0.42407164,-1.9986392,1.4440523,3.4426916
