,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001262-0.tif,-121.44614304246069,0.0,-0.724145577130886,-1.5331078,35.274895,36.808002,56253,56253,-0.81589353,1.6695045,2.485398,-0.020194903,0.047328405,0.06752331
1,Letaba,cam1-001-001380-0.tif,-419.89633896474965,0.0,-1.3797383421004088,-3.2641602,36.011726,39.275887,185234,185234,-0.21881461,2.2538435,2.4726582,-0.0003697574,0.06258638,0.06295614
2,Letaba,cam1-001-001659-0.tif,-158.06951831358649,0.0,-0.6571103084658554,-1.7326889,34.453354,36.186043,115731,115731,0.28212452,2.7741175,2.491993,0.011651933,0.08051807,0.06886613
3,Letaba,cam1-001-002009-0.tif,-406.2485704584069,0.0,-0.9291284048942255,-1.5848083,34.69095,36.275757,382351,382351,-0.2685337,1.566134,1.8346677,-0.0054302663,0.04514532,0.050575588
4,Letaba,cam1-001-002044-0.tif,104.47814081222592,0.0,0.44165061288924784,0.9668579,34.42976,33.462902,111924,111924,-0.57915556,1.8803774,2.459533,-0.018885404,0.054614887,0.07350029
5,Nkuhlu,Flight2_cam1-000-000201-0.tif,-396.6005280571249,0.0,-0.9654835622230613,-1.6698494,35.88253,37.55238,337479,337479,-0.6664767,1.3639021,2.0303788,-0.016057715,0.0380102,0.054067913
6,Hlangwine,Flight1_cam1-002-000068-0.tif,-337.8422617237334,0.0,-0.6912816370591266,-0.58747673,30.483194,31.070671,477692,477692,-0.15619081,0.76814574,0.92433655,-0.004550498,0.02519899,0.029749488
7,Hlangwine,Flight1_cam1-002-000207-0.tif,-110.19646744336536,0.0,-0.21917311231392617,-0.25013924,30.679192,30.92933,505581,505581,0.18635392,1.2306532,1.0442992,0.006349571,0.040113613,0.033764042
8,Hlangwine,Flight2_cam1-000-000155-0.tif,-140.92824812196207,0.0,-0.2878431291137926,-0.24045181,28.737547,28.977999,479418,479418,-0.034633815,0.8178607,0.85249454,-0.0009590257,0.028459657,0.029418683
9,Hlangwine,Flight2_cam1-000-000194-0.tif,-238.6453104065452,0.0,-0.4946502842810661,-0.40734482,28.802046,29.20939,465521,465521,0.19161695,0.9137168,0.72209984,0.0070025288,0.031724025,0.024721496
