,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001236-0.tif,-530.9837153924242,0.0,-0.7904777387843616,-1.9201698,36.78494,38.70511,902429,902429,-0.56009436,2.1328816,2.692976,-0.011594284,0.05798247,0.069576755
1,Letaba,cam1-001-001262-0.tif,,,,,,,0,0,,,,,,
2,Letaba,cam1-001-001380-0.tif,-141.44006683009687,0.0,-0.34521201013289515,-0.85905457,37.761127,38.620182,335740,335740,0.06661296,2.5215676,2.4549546,0.003210187,0.06677681,0.063566625
3,Letaba,cam1-001-001405-0.tif,-56.63396162703011,0.0,-0.09366649139186206,-0.19255829,36.223732,36.41629,731165,731165,-0.229352,1.9379094,2.1672614,-0.006015178,0.053498335,0.059513513
4,Letaba,cam1-001-001806-0.tif,-422.1092624363019,0.0,-0.5840892788275988,-1.1307564,35.66996,36.800716,1044531,1044531,-0.38256466,1.7351753,2.11774,-0.008900881,0.04864528,0.05754616
5,Letaba,cam1-001-001821-0.tif,-188.74393610709777,0.0,-0.5111990777506712,-0.98895264,36.052586,37.04154,272644,272644,-0.24225545,1.8096509,2.0519063,-0.00519998,0.05019476,0.05539474
6,Letaba,cam1-001-002009-0.tif,-260.9710749150684,0.0,-0.6542971736882358,-1.132618,34.68919,35.821808,318174,318174,-0.40178645,1.5184553,1.9202417,-0.009832226,0.043773156,0.05360538
7,Nkuhlu,Flight2_cam1-001-000217-0.tif,-136.93872981303736,0.0,-0.39089627461374926,-1.0295601,38.513645,39.543205,245448,245448,0.030149698,2.6488764,2.6187267,0.002553165,0.068777606,0.06622444
8,Nkuhlu,Flight2_cam1-001-000301-0.tif,88.71263691801089,0.0,0.21540064866694264,0.5516739,39.44614,38.894466,339240,339240,-0.19441628,2.4620988,2.6565151,-0.005883865,0.062416725,0.06830059
9,Nkuhlu,Flight2_cam1-002-000147-0.tif,-31.79451181126947,1.4842234451718651e-209,-0.5908168818521317,-1.1805077,37.88906,39.06957,5792,5792,-1.3062005,1.2352428,2.5414433,-0.03244761,0.03260157,0.06504918
10,Hlangwine,Flight3_cam1-001-000162-0.tif,-127.99943661561807,0.0,-0.2661228579125517,-0.30359077,29.681162,29.984753,462681,462681,0.025755286,1.1535968,1.1278415,0.0012524612,0.038866293,0.03761383
11,Hlangwine,Flight3_cam1-001-000175-0.tif,-84.92560045299757,0.0,-0.17921500361343687,-0.2122345,30.09096,30.303194,449116,449116,0.35522175,1.3484614,0.99323964,0.0120361075,0.04481284,0.032776732
12,Hlangwine,Flight3_cam1-001-000200-0.tif,53.431522129830654,0.0,0.13170924647123172,0.14317703,28.701122,28.557945,329149,329149,0.23409986,1.1977988,0.963699,0.007988129,0.04173352,0.03374539
13,Hlangwine,Flight3_cam1-001-000217-0.tif,-26.151430667544183,1.2338719385782055e-150,-0.07660251752892505,-0.0644989,27.452473,27.516972,233096,233096,0.1764397,0.92558,0.7491403,0.0064910594,0.033715725,0.027224666
14,Hlangwine,Flight3_cam1-001-000349-0.tif,-32.05721174494966,4.840915849707149e-225,-0.1261733177583241,-0.16736221,28.89813,29.065493,129106,129106,-0.024897456,1.3139398,1.3388373,-0.0005947873,0.045467988,0.046062775
15,Hlangwine,Flight4_cam1-001-000165-0.tif,-18.343970430473604,3.8127454985119476e-75,-0.039458434852294236,-0.021535873,27.117659,27.139194,432252,432252,0.043041766,0.5668827,0.52384096,0.001602551,0.02090456,0.019302009
16,Hlangwine,Flight4_cam1-001-000378-0.tif,5.4977292028024385,3.8482587497753656e-08,0.011945222837950657,0.0070343018,27.025755,27.01872,423651,423651,0.084922194,0.6298082,0.544886,0.0031370204,0.023304,0.02016698
17,Hlangwine,Flight4_cam1-002-000219-0.tif,-83.75983522001198,0.0,-0.16036677894087703,-0.08846474,27.677555,27.76602,545598,545598,0.22021347,0.6506465,0.43043303,0.008005941,0.023508092,0.015502151
18,Hlangwine,Flight4_cam1-004-000052-0.tif,-30.985799039785462,1.588566594566568e-210,-0.09580371363199118,-0.052375793,26.738392,26.790768,209214,209214,0.22484764,0.64743847,0.42259082,0.008440066,0.024213815,0.015773749
19,RoanCamp,cam1-000-000098-0.tif,-662.2310182322619,0.0,-1.8514440636024188,-2.5451622,35.461914,38.007076,255875,255875,-0.48803198,1.1088438,1.5968758,-0.010746643,0.03126858,0.042015225
20,RoanCamp,cam1-000-000108-0.tif,-818.0576712357763,0.0,-1.6991195496220461,-2.1821022,35.743713,37.925816,463607,463607,-0.12573075,1.2198497,1.3455805,-0.0013516024,0.03412767,0.035479274
21,RoanCamp,cam1-000-000117-0.tif,-665.4535859342242,0.0,-1.467261359520508,-2.2211914,36.23841,38.459602,411387,411387,-0.10007048,1.4629725,1.563043,-0.00027039275,0.04037077,0.040641163
22,RoanCamp,cam1-000-000127-0.tif,-544.1869480160165,0.0,-1.1821844257638656,-1.8953743,36.27022,38.165596,423795,423795,0.06329179,1.634615,1.5713232,0.0038964935,0.045067687,0.041171193
23,RoanCamp,cam1-000-000138-0.tif,-695.0248793779582,0.0,-1.536293931372069,-2.625534,35.532295,38.15783,409338,409338,0.23925567,1.8244408,1.5851852,0.009803135,0.05134599,0.041542854
24,RoanCamp,cam1-000-000154-0.tif,-953.1167339814583,0.0,-2.347856077648301,-3.0706367,35.039894,38.11053,329594,329594,-0.073372245,1.2706463,1.3440186,0.0009965152,0.036262847,0.035266332
25,RoanCamp,cam1-000-000169-0.tif,-725.0736674148724,0.0,-1.721519839885136,-2.503151,34.970764,37.473915,354789,354789,-0.11343384,1.396212,1.5096458,-0.0003601238,0.03992512,0.040285245
26,RoanCamp,cam1-000-000179-0.tif,-692.7368721014327,0.0,-1.625267606897096,-2.4054832,35.128036,37.53352,363343,363343,-0.32270312,1.3098807,1.6325839,-0.0062079355,0.037288755,0.04349669
27,RoanCamp,cam1-000-000191-0.tif,-434.38848000406864,0.0,-1.196342468002349,-1.633194,35.161015,36.79421,263679,263679,-0.2728876,1.2218764,1.494764,-0.0058740936,0.034750886,0.04062498
28,RoanCamp,cam1-000-000236-0.tif,-117.61582985117431,0.0,-1.2666282743234163,-1.6211967,34.892868,36.514065,17245,17245,0.27969456,1.4121153,1.1324208,0.00945675,0.040470026,0.031013276
29,RoanCamp,cam1-000-000247-0.tif,-390.7333767007523,0.0,-1.703913362831642,-2.3495674,34.639786,36.989353,105171,105171,-0.038527012,1.3595262,1.3980532,0.0014514402,0.039247535,0.037796095
30,RoanCamp,cam1-000-000259-0.tif,-405.9720822832096,0.0,-1.7551538549460552,-2.2871666,34.768063,37.05523,107002,107002,0.09405351,1.3492925,1.255239,0.004933577,0.03880839,0.033874813
31,RoanCamp,cam1-000-000269-0.tif,-466.41587049999805,0.0,-2.003048933393344,-2.843628,34.259224,37.10285,108441,108441,0.041713953,1.4403535,1.3986396,0.0043465123,0.042042796,0.037696283
32,RoanCamp,cam1-000-000287-0.tif,-639.0041207242261,0.0,-2.8863876637051646,-3.711216,33.748913,37.46013,98023,98023,0.21834528,1.3902943,1.171949,0.009909995,0.041195232,0.031285238
33,RoanCamp,cam1-000-000352-0.tif,-373.4167082353823,0.0,-1.787808726112198,-2.267006,32.97476,35.241764,87252,87252,-0.44767773,1.0242844,1.4719621,-0.010704869,0.03106268,0.04176755
34,RoanCamp,cam1-001-000333-0.tif,-157.78966358959872,0.0,-0.7078225369167593,-0.9553528,32.9913,33.94665,99389,99389,-0.009215593,1.345091,1.3543066,0.0008759387,0.040771082,0.039895143
35,RoanCamp,cam1-001-000605-0.tif,-193.5325296302551,0.0,-0.862408978583969,-1.281044,33.151096,34.43214,100719,100719,-0.18158567,1.391855,1.5734407,-0.0037116706,0.041985188,0.04569686
