,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Hlangwine,Flight1_cam1-002-000068-0.tif,-337.8422617237334,0.0,-0.6912816370591266,-0.58747673,30.483194,31.070671,477692,477692,-0.15619081,0.76814574,0.92433655,-0.004550498,0.02519899,0.029749488
1,Hlangwine,Flight1_cam1-002-000207-0.tif,-110.19646744336536,0.0,-0.21917311231392617,-0.25013924,30.679192,30.92933,505581,505581,0.18635392,1.2306532,1.0442992,0.006349571,0.040113613,0.033764042
2,Hlangwine,Flight2_cam1-000-000155-0.tif,-140.92824812196207,0.0,-0.2878431291137926,-0.24045181,28.737547,28.977999,479418,479418,-0.034633815,0.8178607,0.85249454,-0.0009590257,0.028459657,0.029418683
3,Hlangwine,Flight2_cam1-000-000194-0.tif,-238.6453104065452,0.0,-0.4946502842810661,-0.40734482,28.802046,29.20939,465521,465521,0.19161695,0.9137168,0.72209984,0.0070025288,0.031724025,0.024721496
4,Hlangwine,Flight2_cam1-000-000224-0.tif,-14.58079430259828,3.8241239475826036e-48,-0.043607701886360234,-0.030845642,28.341362,28.372208,223597,223597,0.18287706,0.7928474,0.60997033,0.006476054,0.027974922,0.021498868
5,Hlangwine,Flight2_cam1-000-000240-0.tif,102.75019673356215,0.0,0.27938686569883153,0.22076225,28.592377,28.371614,270510,270510,-0.00817126,0.7860707,0.79424196,-0.00050192885,0.027492318,0.027994247
6,Hlangwine,Flight2_cam1-000-000262-0.tif,-211.80623983970648,0.0,-0.42986564166089053,-0.31048012,28.152481,28.462961,485559,485559,0.049797058,0.7467417,0.69694465,0.0020388793,0.0265249,0.02448602
7,Hlangwine,Flight2_cam1-000-000282-0.tif,-293.9848468889327,0.0,-0.6295539650006635,-0.41480446,27.49543,27.910234,436128,436128,0.14312476,0.7265509,0.5834261,0.005520761,0.026424423,0.020903662
8,Hlangwine,Flight3_cam1-001-000162-0.tif,-127.99943661561807,0.0,-0.2661228579125517,-0.30359077,29.681162,29.984753,462681,462681,0.025755286,1.1535968,1.1278415,0.0012524612,0.038866293,0.03761383
9,Hlangwine,Flight3_cam1-001-000175-0.tif,-84.92560045299757,0.0,-0.17921500361343687,-0.2122345,30.09096,30.303194,449116,449116,0.35522175,1.3484614,0.99323964,0.0120361075,0.04481284,0.032776732
10,Hlangwine,Flight3_cam1-001-000200-0.tif,53.431522129830654,0.0,0.13170924647123172,0.14317703,28.701122,28.557945,329149,329149,0.23409986,1.1977988,0.963699,0.007988129,0.04173352,0.03374539
11,Hlangwine,Flight3_cam1-001-000217-0.tif,-26.151430667544183,1.2338719385782055e-150,-0.07660251752892505,-0.0644989,27.452473,27.516972,233096,233096,0.1764397,0.92558,0.7491403,0.0064910594,0.033715725,0.027224666
12,Hlangwine,Flight3_cam1-001-000349-0.tif,-32.05721174494966,4.840915849707149e-225,-0.1261733177583241,-0.16736221,28.89813,29.065493,129106,129106,-0.024897456,1.3139398,1.3388373,-0.0005947873,0.045467988,0.046062775
13,Hlangwine,Flight4_cam1-000-000119-0.tif,-213.87702072014332,0.0,-0.8209570158818652,-0.42718887,27.298744,27.725933,135743,135743,0.022081554,0.5312784,0.5091968,0.0010962784,0.019461641,0.018365363
14,Hlangwine,Flight4_cam1-001-000165-0.tif,-18.343970430473604,3.8127454985119476e-75,-0.039458434852294236,-0.021535873,27.117659,27.139194,432252,432252,0.043041766,0.5668827,0.52384096,0.001602551,0.02090456,0.019302009
15,Hlangwine,Flight4_cam1-001-000378-0.tif,5.4977292028024385,3.8482587497753656e-08,0.011945222837950657,0.0070343018,27.025755,27.01872,423651,423651,0.084922194,0.6298082,0.544886,0.0031370204,0.023304,0.02016698
16,Hlangwine,Flight4_cam1-002-000219-0.tif,-83.75983522001198,0.0,-0.16036677894087703,-0.08846474,27.677555,27.76602,545598,545598,0.22021347,0.6506465,0.43043303,0.008005941,0.023508092,0.015502151
17,Hlangwine,Flight4_cam1-004-000052-0.tif,-30.985799039785462,1.588566594566568e-210,-0.09580371363199118,-0.052375793,26.738392,26.790768,209214,209214,0.22484764,0.64743847,0.42259082,0.008440066,0.024213815,0.015773749
